time	[Ac]	[Glcxt]	[O2]	[X]	[dummy]	g_uptake	o2_transport	o_uptake	v1	v2	v3	v4	Km	dt	g_rate_uptake	g_uptake_max	max_v1	max_v2	max_v3	max_v4	o_rate_uptake	p2	p3	p4	p5	p6	p7	rateOfV1	rateOfV2	rateOfV3	rateOfV4
0.0	0.4	10.8	0.21	0.001	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.015	0.04	0.0	9.98613037448	0.004	0.012	0.012	0.004	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.0	0.4	10.8	0.21	0.001	-0.6	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.015	0.04	0.0	9.98613037448	0.004	0.012	0.012	0.004	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
2.0	0.4	10.8	0.21	0.001	-1.2	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.015	0.04	0.0	9.98613037448	0.004	0.012	0.012	0.004	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
3.0	0.4	10.8	0.21	0.001	-1.8	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.015	0.04	0.0	9.98613037448	0.004	0.012	0.012	0.004	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
4.0	0.4	10.8	0.21	0.001	-2.4	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.015	0.04	0.0	9.98613037448	0.004	0.012	0.012	0.004	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
5.0	0.4	10.8	0.21	0.001	-3.0	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.015	0.04	0.0	9.98613037448	0.004	0.012	0.012	0.004	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
6.0	0.4	10.8	0.21	0.001	-3.6	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.015	0.04	0.0	9.98613037448	0.004	0.012	0.012	0.004	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
7.0	0.4	10.8	0.21	0.001	-4.2	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.015	0.04	0.0	9.98613037448	0.004	0.012	0.012	0.004	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
8.0	0.4	10.8	0.21	0.001	-4.8	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.015	0.04	0.0	9.98613037448	0.004	0.012	0.012	0.004	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
9.0	0.4	10.8	0.21	0.001	-5.4	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.015	0.04	0.0	9.98613037448	0.004	0.012	0.012	0.004	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
