time	[adp]	[atp]	[dummy_S]	[fba__adp]	[fba__atp]	[fba__fru16bp]	[fba__glc]	[fba__pg2]	[fba__pyr]	[glc]	[pyr]	EX_adp	EX_atp	EX_glc	EX_pyr	fba__R1	fba__R2	fba__R3	fba__RATP	update__update_adp	update__update_atp	update__update_glc	update__update_pyr	bounds__fbalb_EX_adp	bounds__fbalb_EX_atp	bounds__fbalb_EX_glc	bounds__fbalb_EX_pyr	dt	fba__ub_RATP	fba__ub_default	fba__zero	lb_EX_adp	lb_EX_atp	lb_EX_glc	lb_EX_pyr	pEX_adp	pEX_atp	pEX_glc	pEX_pyr	ub_EX_adp	ub_EX_atp	ub_EX_glc	ub_EX_pyr
0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.001	-0.001	0.0	0.0	0.0	0.0	0.0	0.001	-0.001	0.001	0.0	0.0	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-50.0	0.0	0.001	-0.001	0.0	0.0	1000.0	1000.0	1000.0	1000.0
10.0	1.01	1.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.001	-0.001	0.0	0.0	0.0	0.0	0.0	0.001	-0.001	0.001	0.0	0.0	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.1	-19.9	-50.0	0.0	0.001	-0.001	0.0	0.0	1000.0	1000.0	1000.0	1000.0
20.0	1.02	1.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.001	-0.001	0.0	0.0	0.0	0.0	0.0	0.001	-0.001	0.001	0.0	0.0	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.2	-19.799999999999997	-50.0	0.0	0.001	-0.001	0.0	0.0	1000.0	1000.0	1000.0	1000.0
30.0	1.03	1.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.001	-0.001	0.0	0.0	0.0	0.0	0.0	0.001	-0.001	0.001	0.0	0.0	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.299999999999999	-19.7	-50.0	0.0	0.001	-0.001	0.0	0.0	1000.0	1000.0	1000.0	1000.0
40.0	1.04	1.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.001	-0.001	0.0	0.0	0.0	0.0	0.0	0.001	-0.001	0.001	0.0	0.0	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.4	-19.599999999999998	-50.0	0.0	0.001	-0.001	0.0	0.0	1000.0	1000.0	1000.0	1000.0
50.0	1.05	1.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.001	-0.001	0.0	0.0	0.0	0.0	0.0	0.001	-0.001	0.001	0.0	0.0	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.5	-19.5	-50.0	0.0	0.001	-0.001	0.0	0.0	1000.0	1000.0	1000.0	1000.0
60.0	1.0600000000000003	1.9399999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.001	-0.001	0.0	0.0	0.0	0.0	0.0	0.001	-0.001	0.001	0.0	0.0	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.600000000000001	-19.399999999999995	-50.0	0.0	0.001	-0.001	0.0	0.0	1000.0	1000.0	1000.0	1000.0
70.0	1.0700000000000003	1.9299999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.001	-0.001	0.0	0.0	0.0	0.0	0.0	0.001	-0.001	0.001	0.0	0.0	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.700000000000003	-19.299999999999997	-50.0	0.0	0.001	-0.001	0.0	0.0	1000.0	1000.0	1000.0	1000.0
80.0	1.0800000000000003	1.9199999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.001	-0.001	0.0	0.0	0.0	0.0	0.0	0.001	-0.001	0.001	0.0	0.0	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.800000000000002	-19.199999999999996	-50.0	0.0	0.001	-0.001	0.0	0.0	1000.0	1000.0	1000.0	1000.0
90.0	1.0900000000000003	1.9099999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.001	-0.001	0.0	0.0	0.0	0.0	0.0	0.001	-0.001	0.001	0.0	0.0	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.900000000000002	-19.099999999999994	-50.0	0.0	0.001	-0.001	0.0	0.0	1000.0	1000.0	1000.0	1000.0
100.0	1.1000000000000003	1.8999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.001	-0.001	0.0	0.0	0.0	0.0	0.0	0.001	-0.001	0.001	0.0	0.0	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-11.000000000000002	-18.999999999999996	-50.0	0.0	0.001	-0.001	0.0	0.0	1000.0	1000.0	1000.0	1000.0
110.0	1.1100000000000003	1.8899999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.001	-0.001	0.0	0.0	0.0	0.0	0.0	0.001	-0.001	0.001	0.0	0.0	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-11.100000000000003	-18.899999999999995	-50.0	0.0	0.001	-0.001	0.0	0.0	1000.0	1000.0	1000.0	1000.0
