time	[C]	[fba__B1]	[fba__B2]	[model__D]	[fba__A]	R3	fba__R1	fba__R2	model__R4	update__R3	bounds__k1	fba__lb	fba__ub	model__k_R4	ub_R1	vR3
0.0	0.0	0.0	0.0	0.0	10.0	1.0	1.0	1.0	0.0	1.0	-0.2	0.0	1000.0	0.1	1.0	1.0
2.5	2.21199360369	0.0	0.0	0.288006642146	10.0	1.0	1.0	1.0	0.221199360369	1.0	-0.2	0.0	1000.0	0.1	0.606529686319	1.0
5.0	3.06434640673	0.0	0.0	0.951978054909	10.0	0.606529686319	0.606529686319	0.606529686319	0.306434640673	0.606529686319	-0.2	0.0	1000.0	0.1	0.367875622485	0.606529686319
7.5	3.20025575644	0.0	0.0	1.73575776141	10.0	0.367875622485	0.367875622485	0.367875622485	0.320025575644	0.367875622485	-0.2	0.0	1000.0	0.1	0.223113020771	0.367875622485
10.0	2.98588221373	0.0	0.0	2.50791385604	10.0	0.223113020771	0.223113020771	0.223113020771	0.298588221373	0.223113020771	-0.2	0.0	1000.0	0.1	0.135315923271	0.223113020771
12.5	2.6247188301	0.0	0.0	3.20736704785	10.0	0.135315923271	0.135315923271	0.135315923271	0.26247188301	0.135315923271	-0.2	0.0	1000.0	0.1	0.0820678075328	0.135315923271
15.0	2.22565943057	0.0	0.0	3.81159596621	10.0	0.0820678075328	0.0820678075328	0.0820678075328	0.222565943057	0.0820678075328	-0.2	0.0	1000.0	0.1	0.0497733402586	0.0820678075328
17.5	1.84343685452	0.0	0.0	4.31825189291	10.0	0.0497733402586	0.0497733402586	0.0497733402586	0.184343685452	0.0497733402586	-0.2	0.0	1000.0	0.1	0.0301870567112	0.0497733402586
20.0	1.50243863529	0.0	0.0	4.73471775392	10.0	0.0301870567112	0.0301870567112	0.0301870567112	0.150243863529	0.0301870567112	-0.2	0.0	1000.0	0.1	0.0183083811217	0.0301870567112
22.5	1.21059414142	0.0	0.0	5.07233320059	10.0	0.0183083811217	0.0183083811217	0.0183083811217	0.121059414142	0.0183083811217	-0.2	0.0	1000.0	0.1	0.0111039925735	0.0183083811217
25.0	0.967370081419	0.0	0.0	5.34331724203	10.0	0.0111039925735	0.0111039925735	0.0111039925735	0.0967370081419	0.0111039925735	-0.2	0.0	1000.0	0.1	0.00673454742743	0.0111039925735
27.5	0.768282458243	0.0	0.0	5.55924123377	10.0	0.00673454742743	0.00673454742743	0.00673454742743	0.0768282458243	0.00673454742743	-0.2	0.0	1000.0	0.1	0.00408448867449	0.00673454742743
30.0	0.607371507909	0.0	0.0	5.73036340579	10.0	0.00408448867449	0.00408448867449	0.00408448867449	0.0607371507909	0.00408448867449	-0.2	0.0	1000.0	0.1	0.0024772338014	0.00408448867449
32.5	0.47849916449	0.0	0.0	5.86542883372	10.0	0.0024772338014	0.0024772338014	0.0024772338014	0.047849916449	0.0024772338014	-0.2	0.0	1000.0	0.1	0.00150243714549	0.0024772338014
35.0	0.375977423024	0.0	0.0	5.97170666804	10.0	0.00150243714549	0.00150243714549	0.00150243714549	0.0375977423024	0.00150243714549	-0.2	0.0	1000.0	0.1	0.000911225016127	0.00150243714549
37.5	0.294825964676	0.0	0.0	6.05513618893	10.0	0.000911225016127	0.000911225016127	0.000911225016127	0.0294825964676	0.000911225016127	-0.2	0.0	1000.0	0.1	0.000552656080577	0.000911225016127
40.0	0.230832243463	0.0	0.0	6.12051155035	10.0	0.000552656080577	0.000552656080577	0.000552656080577	0.0230832243463	0.000552656080577	-0.2	0.0	1000.0	0.1	0.000335184751489	0.000552656080577
42.5	0.180513037733	0.0	0.0	6.17166871796	10.0	0.000335184751489	0.000335184751489	0.000335184751489	0.0180513037733	0.000335184751489	-0.2	0.0	1000.0	0.1	0.000203288825977	0.000335184751489
45.0	0.141032806236	0.0	0.0	6.21165717152	10.0	0.000203288825977	0.000203288825977	0.000203288825977	0.0141032806236	0.000203288825977	-0.2	0.0	1000.0	0.1	0.000123294203682	0.000203288825977
47.5	0.110108747765	0.0	0.0	6.2428894655	10.0	0.000123294203682	0.000123294203682	0.000123294203682	0.0110108747765	0.000123294203682	-0.2	0.0	1000.0	0.1	7.47776103572e-05	0.000123294203682
50.0	0.0859178440935	0.0	0.0	6.2672673132	10.0	7.47776103572e-05	7.47776103572e-05	7.47776103572e-05	0.00859178440935	7.47776103572e-05	-0.2	0.0	1000.0	0.1	4.53523688163e-05	7.47776103572e-05
