time	gu	gu_pm_sd	gu_sd
0.71	1.92	2.44	0.52
5.69	1.92	2.47	0.55
13.53	2.87	4.21	1.34
17.80	3.79	6.84	3.05
24.92	4.21	6.87	2.66
34.17	3.69	6.35	2.66
44.14	5.62	8.46	2.84
54.81	6.90	9.77	2.87
67.63	7.60	10.38	2.78
82.58	6.81	9.16	2.35
104.64	6.84	9.16	2.32
134.54	5.59	7.54	1.95
164.44	4.34	5.62	1.28
195.05	3.48	4.64	1.16
224.95	2.75	3.76	1.01
250.58	2.50	3.51	1.01
269.80	2.38	3.24	0.85
290.44	2.32	3.27	0.95
330.31	2.29	3.02	0.73
390.10	1.77	2.50	0.73
420.71	1.74	2.66	0.92

