time	egp	egp_pm_sd	egp_sd
0.00	1.92	2.37	0.45
2.86	1.69	2.10	0.41
8.57	1.39	1.89	0.50
13.57	1.18	1.74	0.55
17.14	1.07	1.70	0.64
24.29	0.74	1.35	0.61
35.00	0.52	1.08	0.56
45.71	0.46	1.05	0.59
55.00	0.48	1.05	0.57
67.14	0.53	1.12	0.59
82.86	0.54	1.22	0.67
104.29	0.57	1.21	0.64
135.00	0.64	1.27	0.62
165.00	0.73	1.34	0.61
194.29	0.76	1.37	0.62
225.71	0.85	1.44	0.60
250.71	0.72	1.29	0.57
270.00	1.02	1.66	0.64
290.00	0.99	1.63	0.65
330.00	1.09	1.72	0.63
390.00	1.11	1.70	0.59
420.71	1.11	1.72	0.62

