study	substance	time	value	value_unit
Varma1994	cell_density	0.00	0.00	g/l
Varma1994	cell_density	1.73	0.01	g/l
Varma1994	cell_density	2.50	0.02	g/l
Varma1994	cell_density	3.01	0.03	g/l
Varma1994	cell_density	3.50	0.04	g/l
Varma1994	cell_density	4.24	0.07	g/l
Varma1994	cell_density	4.74	0.11	g/l
Varma1994	cell_density	5.24	0.15	g/l
Varma1994	cell_density	5.76	0.22	g/l
Varma1994	cell_density	6.24	0.31	g/l
Varma1994	cell_density	6.77	0.44	g/l
Varma1994	cell_density	7.27	0.59	g/l
Varma1994	cell_density	7.78	0.73	g/l
Varma1994	cell_density	8.26	0.72	g/l
Varma1994	cell_density	8.78	0.72	g/l
Varma1994	cell_density	9.26	0.73	g/l
Varma1994	cell_density	9.73	0.74	g/l
Varma1994	cell_density	10.26	0.74	g/l
Varma1994	glucose	0.00	10.73	mM
Varma1994	glucose	1.71	10.74	mM
Varma1994	glucose	2.51	10.36	mM
Varma1994	glucose	3.00	10.11	mM
Varma1994	glucose	3.50	9.95	mM
Varma1994	glucose	4.27	9.55	mM
Varma1994	glucose	4.78	8.79	mM
Varma1994	glucose	5.26	8.24	mM
Varma1994	glucose	5.79	7.24	mM
Varma1994	glucose	6.26	6.15	mM
Varma1994	glucose	6.72	4.36	mM
Varma1994	glucose	7.27	2.06	mM
Varma1994	glucose	7.76	0.64	mM
Varma1994	glucose	8.22	0.00	mM
Varma1994	glucose	8.77	0.00	mM
Varma1994	glucose	9.26	0.02	mM
Varma1994	glucose	9.71	0.00	mM
Varma1994	glucose	10.26	0.00	mM
Varma1994	acetate	0.03	0.35	mM
Varma1994	acetate	1.76	0.39	mM
Varma1994	acetate	2.54	0.45	mM
Varma1994	acetate	3.01	0.53	mM
Varma1994	acetate	3.50	0.62	mM
Varma1994	acetate	4.30	0.88	mM
Varma1994	acetate	4.78	1.11	mM
Varma1994	acetate	5.24	1.38	mM
Varma1994	acetate	5.78	1.80	mM
Varma1994	acetate	6.28	2.27	mM
Varma1994	acetate	6.77	3.01	mM
Varma1994	acetate	7.30	3.52	mM
Varma1994	acetate	7.77	3.94	mM
Varma1994	acetate	8.26	3.24	mM
Varma1994	acetate	8.79	2.09	mM
Varma1994	acetate	9.28	1.08	mM
Varma1994	acetate	9.73	0.35	mM
Varma1994	acetate	10.29	0.54	mM

