	compartments	constraints	events	events_delay	events_event_assignments	events_math	events_priority	events_trigger	function_definitions	initial_assignments	kinetic_laws	kinetic_laws_math	math	parameters	parameters_local	reactions	rules	rules_algebraic_rules	rules_assignment_rules	rules_rate_rules	species	unit_definitions	curated
count	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	1000.0
mean	3.3313313313313313	2.998998998998999	0.062062062062062065	0.01001001001001001	0.08008008008008008	0.15215215215215216	0.0	0.062062062062062065	1.5405405405405406	1.7597597597597598	1238.096096096096	132.33633633633633	154.56556556556558	37.011011011011014	4219.725725725726	1399.0570570570571	15.777777777777779	0.007007007007007007	12.452452452452452	3.3183183183183185	1305.2302302302303	3.635635635635636	0.0
std	8.576855731432408	94.78924517581622	0.3666346875848397	0.14813435615970252	0.46693645488373725	0.8868177740672976	0.0	0.3666346875848397	7.29153214284133	22.936401185474246	3030.1110432860482	474.9774016256997	484.11941364584123	89.73235017659634	11556.246859851191	3150.2554933043025	57.1501263388609	0.15811689617705083	50.97081065245705	9.084593245911568	2314.992088493311	6.052490119336064	0.0
min	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25%	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
50%	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	7.0	1.0	4.0	65.0	0.0	0.0	0.0	0.0	61.0	1.0	0.0
75%	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1773.0	14.0	49.5	30.5	3890.0	1950.0	6.0	0.0	4.0	1.0	1915.0	4.0	0.0
max	254.0	2996.0	6.0	4.0	8.0	13.0	0.0	6.0	105.0	699.0	71551.0	4139.0	4140.0	1110.0	286204.0	71551.0	677.0	4.0	652.0	103.0	36263.0	41.0	0.0
