	compartments	constraints	events	events_delay	events_event_assignments	events_math	events_priority	events_trigger	function_definitions	initial_assignments	kinetic_laws	kinetic_laws_math	math	parameters	parameters_local	reactions	rules	rules_algebraic_rules	rules_assignment_rules	rules_rate_rules	species	unit_definitions	curated
count	1639.0	1639.0	1639.0	1639.0	1639.0	1639.0	1639.0	1639.0	1639.0	1639.0	1639.0	1639.0	1639.0	1639.0	1639.0	1639.0	1639.0	1639.0	1639.0	1639.0	1639.0	1639.0	1640.0
mean	2.6693105552165957	1.8279438682123246	0.21598535692495424	0.04148871262965223	0.41549725442342894	0.6729713239780354	0.0	0.21598535692495424	2.834655277608298	1.37339841366687	769.0219646125687	95.04148871262966	113.87797437461867	35.85967053081147	2589.4935936546676	867.1305674191581	12.12751677852349	0.004270896888346553	9.720561317876754	2.402684563758389	807.2562538133008	3.2471018913971936	0.3902439024390244
std	6.78965160654765	74.00351227586515	1.1256638751139747	0.550933699379366	3.22952329896311	4.424285889802819	0.0	1.1256638751139747	16.03396485738199	18.04457038144205	2437.4514314323765	378.13857695482614	386.99810507314436	76.68918177206082	9248.83519041926	2547.910654263894	45.69151451609917	0.12346766202699073	40.730239274793384	7.5276546795339785	1911.7488506902855	5.103383190013983	0.4879536670954155
min	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25%	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
50%	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	4.0	15.0	9.0	0.0	23.0	0.0	0.0	0.0	0.0	23.0	1.0	0.0
75%	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.5	24.0	49.0	36.0	126.0	712.0	6.0	0.0	5.0	0.0	628.0	4.0	1.0
max	254.0	2996.0	21.0	14.0	84.0	112.0	0.0	21.0	366.0	699.0	71551.0	4139.0	4140.0	1110.0	286204.0	71551.0	677.0	4.0	652.0	103.0	36263.0	41.0	1.0
