time	[Ac]	[Glcxt]	[O2]	[X]	[dummy_S]	dummy_EX_Ac	dummy_EX_Glcxt	dummy_EX_O2	dummy_EX_X	fba__v1	fba__v2	fba__v3	fba__v4	update__update_Ac	update__update_Glcxt	update__update_O2	update__update_X	vO2_transfer	EX_Ac	EX_Glcxt	EX_O2	EX_X	O2_ref	Y	bounds__Km_EX_Glcxt	bounds__Vmax_EX_Glcxt	bounds__Vmax_EX_O2	bounds__lb_default	bounds__lb_kin_EX_Glcxt	bounds__lb_kin_EX_O2	bounds__ub_default	bounds__zero	dt	fba__lb_default	fba__ub_default	fba__zero	kLa	lb_EX_Ac	lb_EX_Glcxt	lb_EX_O2	lb_EX_X	ub_EX_Ac	ub_EX_Glcxt	ub_EX_O2	ub_EX_X
0.0	0.4	10.8	0.21	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.16253869969	0.0	0.439340315934	-0.00532480462912	0.00998613037448	0.0021	-0.000601879015624	0.0	5.32480462912	-9.98613037448	-2.1	0.601879015624	0.21	0.001	0.015	10.0	15.0	-1000.0	-9.98613037448	-15.0	1000.0	0.0	0.1	-1000.0	1000.0	0.0	7.5	-4.0	-9.98613037448	-2.1	-0.01	1000.0	1000.0	1000.0	1000.0
0.1	0.400549029524	10.7989703509	0.209846764566	0.00106205849277	0.0	0.0	0.0	0.0	0.0	0.0	0.16253869969	0.0	0.439340315934	-0.0056552539787	0.0106058545741	0.00223032283482	-0.000639230720164	0.00114926575634	5.32480462912	-9.98613037448	-2.1	0.601879015624	0.21	0.00106205849277	0.015	10.0	15.0	-1000.0	-9.98612905389	-15.0	1000.0	0.0	0.1	-1000.0	1000.0	0.0	7.5	-4.00549029524	-9.98612905389	-2.09846764566	-0.0106205849277	1000.0	1000.0	1000.0	1000.0
0.2	0.401132223145	10.7978767757	0.209765245791	0.00112796330909	0.0	0.0	0.0	0.0	0.0	0.0	0.162420096413	0.0	0.439398592918	-0.00600698094945	0.0112639871726	0.00236699450962	-0.000678829400292	0.00176065656828	5.32551094617	-9.98612905389	-2.09846764566	0.601818689331	0.21	0.00112796330909	0.015	10.0	15.0	-1000.0	-9.98612765103	-15.0	1000.0	0.0	0.1	-1000.0	1000.0	0.0	7.5	-4.01132223145	-9.98612765103	-2.09765245791	-0.0112796330909	1000.0	1000.0	1000.0	1000.0
0.3	0.40175164918	10.7967153413	0.209716844716	0.00119795396326	0.0	0.0	0.0	0.0	0.0	0.0	0.162357001386	0.0	0.439429558914	-0.00638016654588	0.0119629211971	0.00251289107549	-0.000720912594947	0.00212366462738	5.32588625404	-9.98612765103	-2.09765245791	0.6017865603	0.21	0.00119795396326	0.015	10.0	15.0	-1000.0	-9.98612616081	-15.0	1000.0	0.0	0.1	-1000.0	1000.0	0.0	7.5	-4.0175164918	-9.98612616081	-2.09716844716	-0.0119795396326	1000.0	1000.0	1000.0	1000.0
0.4	0.402409541178	10.7954818342	0.209683366128	0.00127228552761	0.0	0.0	0.0	0.0	0.0	0.0	0.162319539254	0.0	0.439447910529	-0.00677633098648	0.0127052037913	0.0026681970643	-0.000765620017348	0.00237475404112	5.32610867561	-9.98612616081	-2.09716844716	0.601767449783	0.21	0.00127228552761	0.015	10.0	15.0	-1000.0	-9.98612457777	-15.0	1000.0	0.0	0.1	-1000.0	1000.0	0.0	7.5	-4.02409541178	-9.98612457777	-2.09683366128	-0.0127228552761	1000.0	1000.0	1000.0	1000.0
0.5	0.403108275058	10.7941717892	0.2096562497	0.00135122757645	0.0	0.0	0.0	0.0	0.0	0.0	0.162293627034	0.0	0.439460575456	-0.00719699232961	0.0134935269113	0.00283329946634	-0.000813106872647	0.00257812725097	5.32626217453	-9.98612457777	-2.09683366128	0.60175420249	0.21	0.00135122757645	0.015	10.0	15.0	-1000.0	-9.9861228961	-15.0	1000.0	0.0	0.1	-1000.0	1000.0	0.0	7.5	-4.03108275058	-9.9861228961	-2.096562497	-0.0135122757645	1000.0	1000.0	1000.0	1000.0
0.6	0.403850380573	10.7927804599	0.209631425624	0.00143506624555	0.0	0.0	0.0	0.0	0.0	0.0	0.162272639087	0.0	0.43947081281	-0.00764371711996	0.0143307478921	0.00300870607113	-0.000863541716299	0.00276430782213	5.32638625126	-9.9861228961	-2.096562497	0.601743451897	0.21	0.00143506624555	0.015	10.0	15.0	-1000.0	-9.98612110964	-15.0	1000.0	0.0	0.1	-1000.0	1000.0	0.0	7.5	-4.03850380573	-9.98612110964	-2.09631425624	-0.0143506624555	1000.0	1000.0	1000.0	1000.0
0.7	0.404638547313	10.791302805	0.209606934871	0.00152410528348	0.0	0.0	0.0	0.0	0.0	0.0	0.162253425405	0.0	0.439480171883	-0.00811814630963	0.0152198999446	0.00319500363376	-0.000917105354872	0.00294798846563	5.32649968322	-9.98612110964	-2.09631425624	0.601733597288	0.21	0.00152410528348	0.015	10.0	15.0	-1000.0	-9.98611921184	-15.0	1000.0	0.0	0.1	-1000.0	1000.0	0.0	7.5	-4.04638547313	-9.98611921184	-2.09606934871	-0.0152410528348	1000.0	1000.0	1000.0	1000.0
0.8	0.4054756331	10.7897334699	0.209581809408	0.00161866718221	0.0	0.0	0.0	0.0	0.0	0.0	0.162234469715	0.0	0.43948939825	-0.00862201123842	0.0161642034458	0.0033928386664	-0.000973990677827	0.00313642943813	5.32661150679	-9.98611921184	-2.09606934871	0.601723867964	0.21	0.00161866718221	0.015	10.0	15.0	-1000.0	-9.98611719573	-15.0	1000.0	0.0	0.1	-1000.0	1000.0	0.0	7.5	-4.054756331	-9.98611719573	-2.09581809408	-0.0161866718221	1000.0	1000.0	1000.0	1000.0
0.9	0.406364673775	10.788066768	0.209555544909	0.00171909436729	0.0	0.0	0.0	0.0	0.0	0.0	0.162215022762	0.0	0.439498860135	-0.00915714498045	0.0171670778223	0.0036029090804	-0.00103440294681	0.00333341318062	5.32672618484	-9.98611719573	-2.09581809408	0.601713882897	0.21	0.00171909436729	0.015	10.0	15.0	-1000.0	-9.98611505388	-15.0	1000.0	0.0	0.1	-1000.0	1000.0	0.0	7.5	-4.06364673775	-9.98611505388	-2.09555544909	-0.0171909436729	1000.0	1000.0	1000.0	1000.0
