time	[A]	[C]	[D]	[dummy_S]	[fba__A]	[fba__B1]	[fba__B2]	[fba__C]	R4	dummy_EX_A	dummy_EX_C	fba__R1	fba__R2	fba__R3	update__update_A	update__update_C	EX_A	EX_C	bounds__k1	bounds__lb_default	dt	fba__ub_default	fba__zero	k_R4	lb_EX_A	lb_EX_C	ub_EX_A	ub_EX_C	ub_R1
0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	1.0	1.0	1.0	1.0	1.0	-1.0	-1.0	1.0	-0.2	-1000.0	0.1	1000.0	0.0	0.1	-100.0	0.0	1000.0	1000.0	1.0
1.0	9.0	0.951625847203	0.0483741523258	0.0	0.0	0.0	0.0	0.0	0.0951625847203	-1.0	1.0	1.0	1.0	1.0	1.0	-1.0	-1.0	1.0	-0.2	-1000.0	0.1	1000.0	0.0	0.1	-90.0	-9.51625847203	1000.0	1000.0	0.818730682604
2.0	8.1812693174	1.6401918804	0.178538801729	0.0	0.0	0.0	0.0	0.0	0.16401918804	-0.818730682604	0.818730682604	0.818730682604	0.818730682604	0.818730682604	0.818730682604	-0.818730682604	-0.818730682604	0.818730682604	-0.2	-1000.0	0.1	1000.0	0.0	0.1	-81.812693174	-16.401918804	1000.0	1000.0	0.670320205558
3.0	7.51094911184	2.1220014115	0.36704947619	0.0	0.0	0.0	0.0	0.0	0.21220014115	-0.670320205558	0.670320205558	0.670320205558	0.670320205558	0.670320205558	0.670320205558	-0.670320205558	-0.670320205558	0.670320205558	-0.2	-1000.0	0.1	1000.0	0.0	0.1	-75.1094911184	-21.220014115	1000.0	1000.0	0.548811271649
4.0	6.96213784019	2.44233295728	0.595529202063	0.0	0.0	0.0	0.0	0.0	0.244233295728	-0.548811271649	0.548811271649	0.548811271649	0.548811271649	0.548811271649	0.548811271649	-0.548811271649	-0.548811271649	0.548811271649	-0.2	-1000.0	0.1	1000.0	0.0	0.1	-69.6213784019	-24.4233295728	1000.0	1000.0	0.449323463954
5.0	6.51281437624	2.63750232756	0.849683295736	0.0	0.0	0.0	0.0	0.0	0.263750232756	-0.449323463954	0.449323463954	0.449323463954	0.449323463954	0.449323463954	0.449323463954	-0.449323463954	-0.449323463954	0.449323463954	-0.2	-1000.0	0.1	1000.0	0.0	0.1	-65.1281437624	-26.3750232756	1000.0	1000.0	0.367873319554
6.0	6.14494105668	2.73658893332	1.11847000953	0.0	0.0	0.0	0.0	0.0	0.273658893332	-0.367873319554	0.367873319554	0.367873319554	0.367873319554	0.367873319554	0.367873319554	-0.367873319554	-0.367873319554	0.367873319554	-0.2	-1000.0	0.1	1000.0	0.0	0.1	-61.4494105668	-27.3658893332	1000.0	1000.0	0.301186983046
7.0	5.84375407364	2.76278549945	1.39346042645	0.0	0.0	0.0	0.0	0.0	0.276278549945	-0.301186983046	0.301186983046	0.301186983046	0.301186983046	0.301186983046	0.301186983046	-0.301186983046	-0.301186983046	0.301186983046	-0.2	-1000.0	0.1	1000.0	0.0	0.1	-58.4375407364	-27.6278549945	1000.0	1000.0	0.246589005368
8.0	5.59716506827	2.73453202699	1.66830290427	0.0	0.0	0.0	0.0	0.0	0.273453202699	-0.246589005368	0.246589005368	0.246589005368	0.246589005368	0.246589005368	0.246589005368	-0.246589005368	-0.246589005368	0.246589005368	-0.2	-1000.0	0.1	1000.0	0.0	0.1	-55.9716506827	-27.3453202699	1000.0	1000.0	0.201888329993
9.0	5.39527673827	2.66642872921	1.93829453204	0.0	0.0	0.0	0.0	0.0	0.266642872921	-0.201888329993	0.201888329993	0.201888329993	0.201888329993	0.201888329993	0.201888329993	-0.201888329993	-0.201888329993	0.201888329993	-0.2	-1000.0	0.1	1000.0	0.0	0.1	-53.9527673827	-26.6642872921	1000.0	1000.0	0.165290837863
