	compartments	constraints	events	events_delay	events_event_assignments	events_math	events_priority	events_trigger	function_definitions	initial_assignments	kinetic_laws	kinetic_laws_math	level_version	math	parameters	parameters_local	reactions	rules	rules_algebraic_rules	rules_assignment_rules	rules_rate_rules	species	unit_definitions	release	date	status
MODEL9087988095	2	0	0	0	0	0	0	0	0	0	2	2	L2V1	2	0	4	2	0	0	0	0	5	3	R16	2010-01-26	non_curated
MODEL9088169066	2	0	0	0	0	0	0	0	0	0	2	2	L2V1	2	0	4	2	0	0	0	0	5	3	R16	2010-01-26	non_curated
MODEL9088294310	2	0	0	0	0	0	0	0	0	0	2	2	L2V1	2	0	4	2	0	0	0	0	5	3	R16	2010-01-26	non_curated
MODEL9089491423	3	0	0	0	0	0	0	0	0	0	204	204	L2V1	208	0	349	204	4	0	4	0	196	5	R16	2010-01-26	non_curated
MODEL9089538076	3	0	0	0	0	0	0	0	0	0	206	206	L2V1	210	0	353	206	4	0	4	0	200	5	R16	2010-01-26	non_curated
MODEL9089914876	3	0	0	0	0	0	0	0	0	0	202	202	L2V1	206	0	347	202	4	0	4	0	192	5	R16	2010-01-26	non_curated
MODEL9147091146	2	0	0	0	0	0	0	0	0	0	79	79	L2V1	80	0	132	79	1	0	1	0	77	4	R16	2010-01-26	non_curated
MODEL9147232940	2	0	0	0	0	0	0	0	0	0	63	63	L2V1	64	0	104	63	1	0	1	0	64	3	R16	2010-01-26	non_curated
MODEL9147975215	2	0	0	0	0	0	0	0	0	0	29	29	L2V1	29	0	47	29	0	0	0	0	37	3	R16	2010-01-26	non_curated
MODEL9200487367	1	0	0	0	0	0	0	0	0	0	8	8	L2V1	13	9	8	8	5	0	4	1	5	0	R16	2010-01-26	non_curated
MODEL9808533471	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	41	74	0	0	41	0	31	10	0	10	R16	2010-01-26	non_curated
MODEL9810152478	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	100	177	0	0	100	0	70	30	0	16	R16	2010-01-26	non_curated
MODEL9811206584	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	8	22	0	0	8	0	4	4	0	7	R16	2010-01-26	non_curated
MODEL9852292468	1	0	0	0	0	0	0	0	0	0	66	66	L2V1	66	111	0	66	0	0	0	0	73	1	R16	2010-01-26	non_curated
