	compartments	constraints	events	events_delay	events_event_assignments	events_math	events_priority	events_trigger	function_definitions	initial_assignments	kinetic_laws	kinetic_laws_math	level_version	math	parameters	parameters_local	reactions	rules	rules_algebraic_rules	rules_assignment_rules	rules_rate_rules	species	unit_definitions	release	date	status
BIOMD0000000001	1	0	2	0	16	18	0	2	0	0	17	17	L2V1	35	36	0	17	0	0	0	0	12	2	R01	2005-04-11	curated
BIOMD0000000002	1	0	0	0	0	0	0	0	0	0	17	17	L2V1	17	34	0	17	0	0	0	0	13	2	R01	2005-04-11	curated
BIOMD0000000003	1	0	0	0	0	0	0	0	0	0	7	7	L2V1	9	5	10	7	2	0	2	0	3	0	R01	2005-04-11	curated
BIOMD0000000004	1	0	0	0	0	0	0	0	0	0	7	7	L2V1	9	5	10	7	2	0	2	0	5	0	R01	2005-04-11	curated
BIOMD0000000005	1	0	0	0	0	0	0	0	0	0	9	9	L2V1	9	0	10	9	0	0	0	0	7	0	R01	2005-04-11	curated
BIOMD0000000006	1	0	0	0	0	0	0	0	0	0	3	3	L2V1	3	0	4	3	0	0	0	0	3	0	R01	2005-04-11	curated
BIOMD0000000007	1	0	2	1	3	6	0	2	0	0	25	25	L2V1	46	49	0	25	15	0	14	1	22	1	R01	2005-04-11	curated
BIOMD0000000008	1	0	0	0	0	0	0	0	0	0	13	13	L2V1	13	0	19	13	0	0	0	0	6	0	R01	2005-04-11	curated
BIOMD0000000009	1	0	0	0	0	0	0	0	0	0	20	20	L2V1	20	0	30	20	0	0	0	0	22	0	R01	2005-04-11	curated
BIOMD0000000010	1	0	0	0	0	0	0	0	0	0	10	10	L2V1	10	0	22	10	0	0	0	0	8	0	R01	2005-04-11	curated
BIOMD0000000011	1	0	0	0	0	0	0	0	0	0	30	30	L2V1	30	0	30	30	0	0	0	0	22	0	R01	2005-04-11	curated
BIOMD0000000012	1	0	0	0	0	0	0	0	0	0	12	12	L2V1	12	0	24	12	0	0	0	0	7	0	R01	2005-04-11	curated
BIOMD0000000013	1	0	0	0	0	0	0	0	0	0	21	21	L2V1	21	0	83	21	0	0	0	0	27	0	R01	2005-04-11	curated
BIOMD0000000014	1	0	0	0	0	0	0	0	0	0	300	300	L2V1	300	0	300	300	0	0	0	0	86	0	R01	2005-04-11	curated
BIOMD0000000015	1	0	0	0	0	0	0	0	0	0	37	37	L2V1	37	0	111	37	0	0	0	0	18	2	R01	2005-04-11	curated
BIOMD0000000016	3	0	0	0	0	0	0	0	0	0	10	10	L2V1	11	0	18	10	1	0	1	0	7	2	R01	2005-04-11	curated
BIOMD0000000017	1	0	0	0	0	0	0	0	0	0	14	14	L2V1	14	0	71	14	0	0	0	0	19	0	R01	2005-04-11	curated
BIOMD0000000018	2	0	0	0	0	0	0	0	0	0	47	47	L2V1	49	1	106	47	2	0	2	0	33	2	R01	2005-04-11	curated
BIOMD0000000020	1	0	0	0	0	0	0	0	0	0	0	0	L2V1	16	22	0	0	16	0	12	4	0	7	R01	2005-04-11	curated
BIOMD0000000021	2	0	0	0	0	0	0	0	0	0	24	24	L2V1	26	4	44	24	2	0	2	0	10	2	R01	2005-04-11	curated
BIOMD0000000022	3	0	0	0	0	0	0	0	0	0	32	32	L2V1	32	0	66	32	0	0	0	0	13	2	R01	2005-04-11	curated
BIOMD0000000023	1	0	0	0	0	0	0	0	0	0	11	11	L2V1	11	0	54	11	0	0	0	0	13	2	R01	2005-04-11	curated
BIOMD0000000024	1	0	0	0	0	0	0	0	0	0	4	4	L2V1	4	0	8	4	0	0	0	0	3	1	R01	2005-04-11	curated
BIOMD0000000025	2	0	2	0	2	4	0	2	0	0	4	4	L2V1	8	0	8	4	0	0	0	0	4	2	R01	2005-04-11	curated
BIOMD0000000026	1	0	0	0	0	0	0	0	0	0	10	10	L2V1	10	16	0	10	0	0	0	0	11	1	R01	2005-04-11	curated
BIOMD0000000027	1	0	0	0	0	0	0	0	0	0	4	4	L2V1	4	9	0	4	0	0	0	0	5	1	R01	2005-04-11	curated
BIOMD0000000028	1	0	0	0	0	0	0	0	0	0	17	17	L2V1	17	27	0	17	0	0	0	0	16	1	R01	2005-04-11	curated
BIOMD0000000029	1	0	0	0	0	0	0	0	0	0	7	7	L2V1	7	15	0	7	0	0	0	0	6	1	R01	2005-04-11	curated
BIOMD0000000030	1	0	0	0	0	0	0	0	0	0	20	20	L2V1	20	32	0	20	0	0	0	0	18	1	R01	2005-04-11	curated
BIOMD0000000031	1	0	0	0	0	0	0	0	0	0	4	4	L2V1	4	9	0	4	0	0	0	0	6	1	R01	2005-04-11	curated
