	compartments	constraints	events	events_delay	events_event_assignments	events_math	events_priority	events_trigger	function_definitions	initial_assignments	kinetic_laws	kinetic_laws_math	level_version	math	parameters	parameters_local	reactions	rules	rules_algebraic_rules	rules_assignment_rules	rules_rate_rules	species	unit_definitions	release	date	status
MODEL0403888565	1	0	0	0	0	0	0	0	0	0	805	805	L2V1	815	46	1076	805	10	0	9	1	377	0	R13	2009-03-25	non_curated
MODEL0403928902	1	0	0	0	0	0	0	0	0	0	805	805	L2V1	815	46	1076	805	10	0	9	1	377	0	R13	2009-03-25	non_curated
MODEL0403954746	1	0	0	0	0	0	0	0	0	0	805	805	L2V1	815	46	1076	805	10	0	9	1	377	0	R13	2009-03-25	non_curated
MODEL0403988150	1	0	0	0	0	0	0	0	0	0	806	806	L2V1	816	46	1078	806	10	0	9	1	377	0	R13	2009-03-25	non_curated
MODEL0404023805	1	0	0	0	0	0	0	0	0	0	806	806	L2V1	816	46	1078	806	10	0	9	1	377	0	R13	2009-03-25	non_curated
MODEL0568648427	3	0	0	0	0	0	0	0	0	0	0	0	L2V3	0	0	0	33	0	0	0	0	33	0	R13	2009-03-25	non_curated
MODEL0975191032	1	0	0	0	0	0	0	0	0	0	133	133	L2V3	133	0	219	133	0	0	0	0	116	4	R13	2009-03-25	non_curated
MODEL0995500644	1	0	0	0	0	0	0	0	0	0	13	13	L2V1	13	0	41	13	0	0	0	0	12	0	R13	2009-03-25	non_curated
MODEL1150151512	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	114	186	0	0	114	0	73	41	0	21	R13	2009-03-25	non_curated
MODEL1949107276	3	0	0	0	0	0	0	0	0	0	0	0	L2V3	0	0	0	996	0	0	0	0	828	0	R13	2009-03-25	non_curated
MODEL2021729243	1	0	0	0	0	0	0	0	0	0	0	0	L2V1	0	0	0	2824	0	0	0	0	2715	0	R13	2009-03-25	non_curated
MODEL2021747594	1	0	0	0	0	0	0	0	0	0	0	0	L2V1	0	0	0	2824	0	0	0	0	2715	0	R13	2009-03-25	non_curated
MODEL2426780967	1	0	0	0	0	0	0	0	0	0	19	19	L2V1	19	0	88	19	0	0	0	0	25	0	R13	2009-03-25	non_curated
MODEL2427021978	1	0	0	0	0	0	0	0	0	0	19	19	L2V1	19	0	88	19	0	0	0	0	24	0	R13	2009-03-25	non_curated
MODEL2463576061	7	0	0	0	0	0	0	0	0	0	0	0	L2V1	0	0	0	222	0	0	0	0	330	0	R13	2009-03-25	non_curated
MODEL2463683119	9	0	0	0	0	0	0	0	0	0	0	0	L2V1	0	0	0	469	0	0	0	0	680	0	R13	2009-03-25	non_curated
MODEL2504064544	1	0	4	0	5	9	0	4	0	0	51	51	L2V1	67	80	0	51	7	0	7	0	19	2	R13	2009-03-25	non_curated
MODEL2784700357	3	0	0	0	0	0	0	0	0	0	186	186	L2V3	186	1	744	186	0	0	0	0	209	1	R13	2009-03-25	non_curated
MODEL3023609334	3	0	0	0	0	0	0	0	0	0	2382	0	L2V1	0	0	11910	2382	0	0	0	0	1972	1	R13	2009-03-25	non_curated
MODEL3023641273	3	0	0	0	0	0	0	0	0	0	2382	0	L2V1	0	0	11910	2382	0	0	0	0	1972	1	R13	2009-03-25	non_curated
MODEL3579243073	1	0	0	0	0	0	0	0	0	0	16	16	L2V3	16	94	0	16	0	0	0	0	22	0	R13	2009-03-25	non_curated
MODEL3631586579	1	0	0	0	0	0	0	0	0	0	850	850	L2V3	850	0	1661	850	0	0	0	0	436	0	R13	2009-03-25	non_curated
MODEL3632127506	2	0	0	0	0	0	0	0	0	0	1750	1750	L2V3	1750	0	3422	1750	0	0	0	0	872	0	R13	2009-03-25	non_curated
MODEL3897709120	1	0	0	0	0	0	0	0	0	0	22	22	L2V3	22	40	0	22	0	0	0	0	9	2	R13	2009-03-25	non_curated
MODEL3897771820	1	0	1	1	1	3	0	1	6	0	39	39	L2V3	78	106	0	39	30	0	30	0	30	3	R13	2009-03-25	non_curated
MODEL4132046015	5	0	0	0	0	0	0	0	0	0	0	0	L2V1	0	0	0	534	0	0	0	0	408	0	R13	2009-03-25	non_curated
MODEL4151491057	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	62	113	0	0	62	0	43	19	0	20	R13	2009-03-25	non_curated
MODEL4336555445	1	0	0	0	0	0	0	0	0	0	12	12	L2V3	12	38	0	12	0	0	0	0	14	0	R13	2009-03-25	non_curated
MODEL4665428627	2	0	0	0	0	0	0	0	0	0	0	0	L2V3	0	0	0	98	0	0	0	0	61	0	R13	2009-03-25	non_curated
MODEL4780181279	1	0	0	0	0	0	0	0	0	0	11	11	L2V3	11	0	19	11	0	0	0	0	17	3	R13	2009-03-25	non_curated
MODEL4780441670	2	0	0	0	0	0	0	0	0	0	6	6	L2V1	6	0	11	6	0	0	0	0	8	3	R13	2009-03-25	non_curated
MODEL4780784080	2	0	0	0	0	0	0	0	0	0	10	10	L2V1	10	0	16	10	0	0	0	0	14	3	R13	2009-03-25	non_curated
MODEL4816599063	1	0	0	0	0	0	0	0	0	0	8	8	L2V3	9	17	0	8	1	0	1	0	12	3	R13	2009-03-25	non_curated
MODEL4821294342	2	0	0	0	0	0	0	0	0	0	9	9	L2V1	9	0	18	9	0	0	0	0	12	4	R13	2009-03-25	non_curated
MODEL4968912141	2	0	0	0	0	0	0	0	0	0	5	5	L2V1	5	0	10	5	0	0	0	0	8	3	R13	2009-03-25	non_curated
MODEL5073396359	1	0	0	0	0	0	0	0	0	0	53	53	L2V1	53	0	71	53	0	0	0	0	22	0	R13	2009-03-25	non_curated
MODEL5662324959	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R13	2009-03-25	non_curated
MODEL5662377562	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R13	2009-03-25	non_curated
MODEL5662398146	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R13	2009-03-25	non_curated
MODEL5662425708	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R13	2009-03-25	non_curated
MODEL5974712823	2	0	0	0	0	0	0	0	0	0	6	6	L2V1	6	5	0	6	0	0	0	0	10	5	R13	2009-03-25	non_curated
MODEL6185511733	1	0	0	0	0	0	0	0	0	0	12	12	L2V3	12	12	0	12	0	0	0	0	9	0	R13	2009-03-25	non_curated
MODEL6185746832	1	0	0	0	0	0	0	0	0	0	18	18	L2V3	18	18	0	18	0	0	0	0	14	0	R13	2009-03-25	non_curated
MODEL6399676120	8	0	0	0	0	0	0	0	0	0	0	0	L2V3	0	0	0	3742	0	0	0	0	3188	0	R13	2009-03-25	non_curated
MODEL6623617994	1	0	0	0	0	0	0	0	0	0	16	16	L2V1	16	0	85	16	0	0	0	0	22	0	R13	2009-03-25	non_curated
MODEL6623628741	1	0	0	0	0	0	0	0	0	0	4	4	L2V1	4	0	16	4	0	0	0	0	10	0	R13	2009-03-25	non_curated
MODEL6624091635	1	0	0	0	0	0	0	0	0	0	29	29	L2V1	29	0	151	29	0	0	0	0	34	0	R13	2009-03-25	non_curated
MODEL6624199343	1	0	0	0	0	0	0	0	0	0	3	3	L2V1	3	0	13	3	0	0	0	0	5	0	R13	2009-03-25	non_curated
MODEL6655501972	1	0	0	0	0	0	0	0	0	0	14	14	L2V3	14	43	0	14	0	0	0	0	19	0	R13	2009-03-25	non_curated
MODEL6762427183	1	0	0	0	0	0	0	0	0	0	0	0	L2V1	23	37	0	0	23	0	18	5	0	10	R13	2009-03-25	non_curated
