time	MKKK	MKKK_P	MKK	MKK_P	MKK_PP	MAPK	MAPK_P	MAPK_PP
0.0	90.0	10.0	280.0	10.0	10.0	280.0	10.0	10.0
15.0	76.0	24.0	277.0	20.0	3.0	284.0	7.0	9.0
30.0	61.0	39.0	266.0	28.0	6.0	287.0	7.0	6.0
45.0	48.0	52.0	264.0	26.0	10.0	288.0	8.0	4.0
60.0	30.0	70.0	243.0	39.0	18.0	285.0	9.0	6.0
75.0	11.0	89.0	217.0	44.0	39.0	280.0	13.0	7.0
90.0	8.0	92.0	192.0	57.0	51.0	272.0	11.0	17.0
105.0	10.0	90.0	160.0	70.0	70.0	256.0	23.0	21.0
120.0	7.0	93.0	142.0	73.0	85.0	230.0	30.0	40.0
135.0	8.0	92.0	121.0	68.0	111.0	203.0	36.0	61.0
150.0	8.0	92.0	89.0	98.0	113.0	161.0	46.0	93.0
165.0	9.0	91.0	72.0	106.0	122.0	132.0	46.0	122.0
180.0	12.0	88.0	56.0	112.0	132.0	101.0	55.0	144.0
195.0	17.0	83.0	38.0	110.0	152.0	81.0	34.0	185.0
210.0	17.0	83.0	27.0	117.0	156.0	37.0	47.0	216.0
225.0	18.0	82.0	22.0	108.0	170.0	6.0	28.0	266.0
240.0	18.0	82.0	26.0	81.0	193.0	0.0	4.0	296.0
255.0	25.0	75.0	18.0	64.0	218.0	0.0	2.0	298.0
270.0	28.0	72.0	11.0	55.0	234.0	0.0	0.0	300.0
285.0	33.0	67.0	11.0	48.0	241.0	0.0	1.0	299.0
300.0	33.0	67.0	12.0	43.0	245.0	0.0	1.0	299.0
315.0	38.0	62.0	7.0	36.0	257.0	0.0	1.0	299.0
330.0	44.0	56.0	4.0	32.0	264.0	0.0	3.0	297.0
345.0	46.0	54.0	4.0	25.0	271.0	0.0	1.0	299.0
360.0	51.0	49.0	9.0	17.0	274.0	0.0	0.0	300.0
375.0	53.0	47.0	6.0	18.0	276.0	0.0	1.0	299.0
390.0	54.0	46.0	8.0	18.0	274.0	0.0	0.0	300.0
405.0	56.0	44.0	5.0	26.0	269.0	0.0	2.0	298.0
420.0	58.0	42.0	9.0	17.0	274.0	0.0	1.0	299.0
435.0	60.0	40.0	7.0	19.0	274.0	0.0	4.0	296.0
450.0	67.0	33.0	13.0	17.0	270.0	0.0	1.0	299.0
465.0	67.0	33.0	15.0	19.0	266.0	0.0	0.0	300.0
