time	[adp]	[atp]	[dummy_S]	[fba__adp]	[fba__atp]	[fba__fru16bp]	[fba__glc]	[fba__pg2]	[fba__pyr]	[glc]	[pyr]	EX_adp	EX_atp	EX_glc	EX_pyr	RATP	fba__R1	fba__R2	fba__R3	update__update_adp	update__update_atp	update__update_glc	update__update_pyr	Vmax_RATP	bounds__fbalb_EX_adp	bounds__fbalb_EX_atp	bounds__fbalb_EX_glc	bounds__fbalb_EX_pyr	dt	fba__ub_R3	fba__ub_default	fba__zero	k_RATP	lb_EX_adp	lb_EX_atp	lb_EX_glc	lb_EX_pyr	pEX_adp	pEX_atp	pEX_glc	pEX_pyr	ub_EX_adp	ub_EX_atp	ub_EX_glc	ub_EX_pyr
0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	-0.001	0.001	-0.0005	0.001	0.0009523809523809524	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	0.1	-10.0	-20.0	-50.0	-0.0	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
100.0	0.9952455710692487	2.0047544289307515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.95	0.1	-0.001	0.001	-0.0005	0.001	0.0009524885190284163	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	0.1	-9.952455710692487	-20.047544289307513	-49.5	-1.0	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
200.0	0.9905017404869172	2.0094982595130833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8999999999999995	0.20000000000000007	-0.001	0.001	-0.0005	0.001	0.0009525953626417865	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	0.1	-9.905017404869172	-20.09498259513083	-48.99999999999999	-2.0000000000000004	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
300.0	0.9857685512373606	2.01423144876264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.85	0.3	-0.001	0.001	-0.0005	0.001	0.0009527014887331633	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	0.1	-9.857685512373605	-20.1423144876264	-48.49999999999999	-2.9999999999999996	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
400.0	0.9810459315912617	2.018954068408739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.800000000000001	0.3999999999999999	-0.001	0.001	-0.0005	0.001	0.0009528069053072507	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	0.1	-9.810459315912617	-20.18954068408739	-48.00000000000001	-3.999999999999999	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
500.0	0.9763338107982651	2.0236661892017356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.750000000000001	0.4999999999999999	-0.001	0.001	-0.0005	0.001	0.0009529116202402841	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	0.1	-9.76333810798265	-20.236661892017356	-47.50000000000001	-4.999999999999998	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
600.0	0.9716321189667767	2.028367881033224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.700000000000001	0.5999999999999998	-0.001	0.001	-0.0005	0.001	0.0009530156412849762	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	0.1	-9.716321189667767	-20.283678810332237	-47.00000000000001	-5.999999999999997	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
700.0	0.9669407870138277	2.033059212986173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.650000000000001	0.6999999999999996	-0.001	0.001	-0.0005	0.001	0.0009531189760738028	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	0.1	-9.669407870138276	-20.330592129861728	-46.50000000000001	-6.999999999999996	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
800.0	0.962259746636678	2.037740253363322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.600000000000001	0.7999999999999998	-0.001	0.001	-0.0005	0.001	0.0009532216321217373	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	0.1	-9.622597466366779	-20.37740253363322	-46.000000000000014	-7.999999999999998	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
900.0	0.9575889302927719	2.042411069707229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.550000000000002	0.9	-0.001	0.001	-0.0005	0.001	0.0009533236168287416	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	0.1	-9.575889302927719	-20.424110697072287	-45.500000000000014	-9.0	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
