	compartments	constraints	events	events_delay	events_event_assignments	events_math	events_priority	events_trigger	function_definitions	initial_assignments	kinetic_laws	kinetic_laws_math	math	parameters	parameters_local	reactions	rules	rules_algebraic_rules	rules_assignment_rules	rules_rate_rules	species	unit_definitions	curated
count	640.0	640.0	640.0	640.0	640.0	640.0	640.0	640.0	640.0	640.0	640.0	640.0	640.0	640.0	640.0	640.0	640.0	640.0	640.0	640.0	640.0	640.0	640.0
mean	1.6359375	0.0	0.45625	0.090625	0.9390625	1.4859375	0.0	0.45625	4.8546875	0.7703125	36.8265625	36.8265625	50.3671875	34.0625	44.803125	36.8265625	6.4296875	0.0	5.45625	0.9734375	29.95	2.640625	1.0
std	1.2347178103538508	0.0	1.7156077229818387	0.8601267785142903	5.09358789237713	6.918243039721213	0.0	1.7156077229818387	23.85944385217423	3.5239480139257635	92.81581664323714	92.81581664323714	106.00893686997723	49.949481521086405	240.77767585907344	92.81581664323714	14.041233484771395	0.0	12.845706187249469	3.6058872999408624	75.5195297523886	2.990685527057758	0.0
min	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
25%	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	10.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0
50%	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	14.0	21.0	15.0	0.0	14.0	2.0	0.0	1.0	0.0	12.0	2.0	1.0
75%	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	36.0	36.0	49.0	45.0	14.0	36.0	6.0	0.0	5.0	0.0	28.0	4.0	1.0
max	16.0	0.0	21.0	14.0	84.0	112.0	0.0	21.0	366.0	37.0	1490.0	1490.0	1515.0	420.0	2798.0	1490.0	141.0	0.0	141.0	50.0	786.0	23.0	1.0
