time	[Ac]	[Glcxt]	[O2]	[X]	[dummy_S]	dummy_EX_Ac	dummy_EX_Glcxt	dummy_EX_O2	dummy_EX_X	fba__v1	fba__v2	fba__v3	fba__v4	fba__vGlcxt	fba__vO2	update__update_Ac	update__update_Glcxt	update__update_O2	update__update_X	EX_Ac	EX_Glcxt	EX_O2	EX_X	Y	bounds__Km_vGlcxt	bounds__Vmax_vGlcxt	bounds__lb_default	bounds__ub_default	bounds__ub_vGlcxt	bounds__zero	dt	fba__lb_default	fba__ub_default	fba__ub_vGlcxt	fba__ub_vO2	fba__zero	lb_EX_Ac	lb_EX_Glcxt	lb_EX_O2	lb_EX_X	ub_EX_Ac	ub_EX_Glcxt	ub_EX_O2	ub_EX_X
0.0	0.4	10.8	0.21	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	2.1	-0.1212	0.1923	-2.1	-0.01	0.1212	-0.1923	2.1	0.01	0.001	0.015	10.0	-1000.0	1000.0	9.98613037448	0.0	0.1	-1000.0	1000.0	10.0	15.0	0.0	-4.0	-108.0	-2.1	-0.01	4.0	108.0	2.1	0.01
0.1	0.41212	10.78077	0.42	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	2.1	-0.1212	0.1923	-2.1	-0.01	0.1212	-0.1923	2.1	0.01	0.002	0.015	10.0	-1000.0	1000.0	9.98610566916	0.0	0.1	-1000.0	1000.0	10.0	15.0	0.0	-4.1212	-107.8077	-4.2	-0.02	4.1212	107.8077	4.2	0.02
0.2	0.43636	10.74231	0.84	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	4.2	-0.2424	0.3846	-4.2	-0.02	0.2424	-0.3846	4.2	0.02	0.004	0.015	10.0	-1000.0	1000.0	9.98605599355	0.0	0.1	-1000.0	1000.0	10.0	15.0	0.0	-4.3636	-107.4231	-8.4	-0.04	4.3636	107.4231	8.4	0.04
0.3	0.48484	10.66539	1.68	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	8.4	-0.4848	0.7692	-8.4	-0.04	0.4848	-0.7692	8.4	0.04	0.008	0.015	10.0	-1000.0	1000.0	9.98595556904	0.0	0.1	-1000.0	1000.0	10.0	15.0	0.0	-4.8484	-106.6539	-16.8	-0.08	4.8484	106.6539	16.8	0.08
0.4	0.5818	10.51155	3.18	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	15.0	-0.9696	1.5384	-15.0	-0.08	0.9696	-1.5384	15.0	0.08	0.016	0.015	10.0	-1000.0	1000.0	9.98575031706	0.0	0.1	-1000.0	1000.0	10.0	15.0	0.0	-5.818	-105.1155	-31.8	-0.16	5.818	105.1155	31.8	0.16
0.5	0.77572	10.20387	4.68	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	15.0	-1.9392	3.0768	-15.0	-0.16	1.9392	-3.0768	15.0	0.16	0.032	0.015	10.0	-1000.0	1000.0	9.98532127329	0.0	0.1	-1000.0	1000.0	10.0	15.0	0.0	-7.7572	-102.0387	-46.8	-0.32	7.7572	102.0387	46.8	0.32
0.6	0.0	10.0225596372	5.38999806014	0.064	0.0	0.0	0.0	0.0	0.0	0.225714839961	0.0	0.0	0.0942851600388	0.0	15.0	7.7572	1.81310362755	-7.09998060136	-0.32	-7.7572	-1.81310362755	7.09998060136	0.32	0.064	0.015	10.0	-1000.0	1000.0	9.98505612864	0.0	0.1	-1000.0	1000.0	10.0	15.0	0.0	0.0	-100.225596372	-53.8999806014	-0.64	0.0	100.225596372	53.8999806014	0.64
0.7	0.0	9.08119611445	4.86334820563	0.128	0.0	0.0	0.0	0.0	0.0	0.150471387003	0.0	0.0	0.489528612997	0.0	0.0	0.0	9.41363522793	5.2664985451	-0.64	0.0	-9.41363522793	-5.2664985451	0.64	0.128	0.015	10.0	-1000.0	1000.0	9.98350959037	0.0	0.1	-1000.0	1000.0	10.0	15.0	0.0	0.0	-90.8119611445	-48.6334820563	-1.28	0.0	90.8119611445	48.6334820563	1.28
0.8	0.0	7.19846906887	3.81004849661	0.256	0.0	0.0	0.0	0.0	0.0	0.300942774006	0.0	0.0	0.979057225994	0.0	0.0	0.0	18.8272704559	10.5329970902	-1.28	0.0	-18.8272704559	-10.5329970902	1.28	0.256	0.015	10.0	-1000.0	1000.0	9.9792055669	0.0	0.1	-1000.0	1000.0	10.0	15.0	0.0	0.0	-71.9846906887	-38.1004849661	-2.56	0.0	71.9846906887	38.1004849661	2.56
0.9	0.0	3.43301497769	1.70344907856	0.512	0.0	0.0	0.0	0.0	0.0	0.601885548012	0.0	0.0	1.95811445199	0.0	0.0	0.0	37.6545409117	21.0659941804	-2.56	0.0	-37.6545409117	-21.0659941804	2.56	0.512	0.015	10.0	-1000.0	1000.0	9.95649670869	0.0	0.1	-1000.0	1000.0	10.0	15.0	0.0	0.0	-34.3301497769	-17.0344907856	-5.12	0.0	34.3301497769	17.0344907856	5.12
1.0	0.0	0.0	0.0	0.847227718031	0.0	0.0	0.0	0.0	0.0	0.565184869505	0.94837618831	0.0	1.83871612249	10.0	15.0	0.0	34.3301497769	17.0344907856	-3.35227718031	0.0	-34.3301497769	-17.0344907856	3.35227718031	0.847227718031	0.015	10.0	-1000.0	1000.0	0.0	0.0	0.1	-1000.0	1000.0	10.0	15.0	0.0	0.0	0.0	0.0	-8.47227718031	0.0	0.0	0.0	8.47227718031
