time	[Ac]	[Glcxt]	[O2]	[X]	[dummy_S]	dummy_vAc	dummy_vGlcxt	dummy_vO2	dummy_vX	fba__v1	fba__v2	fba__v3	fba__v4	update__update_Ac	update__update_Glcxt	update__update_O2	update__update_X	bounds__Km_vGlcxt	bounds__Vmax_vGlcxt	bounds__dt	bounds__lb_def_vAc	bounds__lb_def_vGlcxt	bounds__lb_def_vO2	bounds__lb_def_vX	bounds__ub_def_vAc	bounds__ub_def_vGlcxt	bounds__ub_def_vO2	bounds__ub_def_vX	bounds__ub_kin_vGlcxt	dt	fba__lb	fba__lb_irrev	fba__ub	lb_vAc	lb_vGlcxt	lb_vO2	lb_vX	ub_vAc	ub_vGlcxt	ub_vO2	ub_vX	update__Km_vFBA	update__Y	vAc	vGlcxt	vO2	vX
1.0	0.398362782857	10.798283932	0.208430766432	0.00271924616638	0.0	0.0	0.0	0.0	0.0	0.059619134767	0.0	0.0	0.193958950814	0.00258925151686	0.00271421903604	0.0024811656128	0.00271924616638	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791922601	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.08430766432	0.0	3.98362782857	14.9791922601	2.08430766432	0.0271924616638	0.02	0.00271924616638	0.0	3.72983062415	2.08666971685	0.253578085581
1.1	0.39809037204	10.7979983688	0.208169737305	0.00300533822714	0.0	0.0	0.0	0.0	0.0	0.059551647552	0.0	0.0	0.193739394635	0.00286157322186	0.00299978204544	0.00274190818049	0.00300533822714	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791917105	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.08169737305	0.0	3.9809037204	14.9791917105	2.08169737305	0.0300533822714	0.02	0.00300533822714	0.0	3.72560855883	2.08430766432	0.253291042187
1.2	0.397789311262	10.7976827616	0.207881278697	0.00332153003107	0.0	0.0	0.0	0.0	0.0	0.0594770678013	0.0	0.0	0.193496764307	0.0031625250043	0.00331538910403	0.00303001595409	0.00332153003107	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791911032	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.07881278697	0.0	3.97789311262	14.9791911032	2.07881278697	0.0332153003107	0.02	0.00332153003107	0.0	3.72094277763	2.08169737305	0.252973832109
1.3	0.397456588579	10.7973339494	0.20756251225	0.00367098837147	0.0	0.0	0.0	0.0	0.0	0.0593946510564	0.0	0.0	0.193228637884	0.00349511435382	0.00366420113833	0.00334835277256	0.00367098837147	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791904319	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.0756251225	0.0	3.97456588579	14.9791904319	2.0756251225	0.0367098837147	0.02	0.00367098837147	0.0	3.71578670651	2.07881278697	0.25262328894
1.4	0.397088875678	10.7969484386	0.207210258466	0.00405721321974	0.0	0.0	0.0	0.0	0.0	0.0593035749286	0.0	0.0	0.192932339887	0.00386266412211	0.00404971163417	0.00370008029387	0.00405721321974	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791896899	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.07210258466	0.0	3.97088875678	14.9791896899	2.07210258466	0.0405721321974	0.02	0.00405721321974	0.0	3.71008889603	2.0756251225	0.252235914816
1.5	0.396682494713	10.7965223683	0.206821005415	0.004484072779	0.0	0.0	0.0	0.0	0.0	0.0592029309902	0.0	0.0	0.192604914929	0.00426884546151	0.00447578162473	0.00408868851811	0.004484072779	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791888698	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.06821005415	0.0	3.96682494713	14.9791888698	2.06821005415	0.04484072779	0.02	0.004484072779	0.0	3.70379251409	2.07210258466	0.251807845919
1.6	0.396233381672	10.7960514712	0.206390874242	0.00495584222559	0.0	0.0	0.0	0.0	0.0	0.0590917158329	0.0	0.0	0.192243098621	0.00471771417321	0.00494667835976	0.00451802932857	0.00495584222559	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791879633	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.06390874242	0.0	3.96233381672	14.9791879633	2.06390874242	0.0495584222559	0.02	0.00495584222559	0.0	3.69683478649	2.06821005415	0.251334814454
1.7	0.395737045926	10.7955310311	0.205915581147	0.00547724652666	0.0	0.0	0.0	0.0	0.0	0.058968821212	0.0	0.0	0.191843285511	0.00521375081078	0.00546711804289	0.0049923533202	0.00547724652666	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791869614	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.05915581147	0.0	3.95737045926	14.9791869614	2.05915581147	0.0547724652666	0.02	0.00547724652666	0.0	3.68914638037	2.06390874242	0.250812106723
1.8	0.395188525565	10.7949558355	0.205390395514	0.00605350776242	0.0	0.0	0.0	0.0	0.0	0.0588330231848	0.0	0.0	0.191401493744	0.00576190491747	0.00604231306527	0.00551635020088	0.00605350776242	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791858539	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.05390395514	0.0	3.95188525565	14.9791858539	2.05390395514	0.0605350776242	0.02	0.00605350776242	0.0	3.68065072469	2.05915581147	0.250234516929
1.9	0.39458233808	10.7943201236	0.204810093805	0.00669039742717	0.0	0.0	0.0	0.0	0.0	0.0586829701468	0.0	0.0	0.190913326146	0.00636764381165	0.00667802420842	0.00609519306477	0.00669039742717	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791846298	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.04810093805	0.0	3.9458233808	14.9791846298	2.04810093805	0.0669039742717	0.02	0.00669039742717	0.0	3.67126326179	2.05390395514	0.249596296293
