time	ins	ins_pm_sd	ins_sd
0.72	26.02	41.33	15.31
6.46	33.67	52.04	18.37
10.05	47.45	104.08	56.63
15.08	114.80	211.22	96.43
20.82	185.20	367.35	182.14
30.87	345.92	538.78	192.86
40.21	312.24	488.27	176.02
50.26	318.37	505.10	186.73
60.31	359.69	573.98	214.29
76.82	312.24	515.82	203.57
90.46	338.27	563.27	225.00
120.62	255.61	466.84	211.22
150.05	182.14	364.29	182.14
180.21	120.92	241.84	120.92
210.36	85.71	183.67	97.96
240.51	79.59	157.65	78.06
260.62	64.29	131.63	67.35
280.00	58.16	120.92	62.76
300.82	59.69	116.33	56.63
360.41	44.39	104.08	59.69
421.44	33.67	71.94	38.27

