	compartments	constraints	events	events_delay	events_event_assignments	events_math	events_priority	events_trigger	function_definitions	initial_assignments	kinetic_laws	kinetic_laws_math	level_version	math	parameters	parameters_local	reactions	rules	rules_algebraic_rules	rules_assignment_rules	rules_rate_rules	species	unit_definitions	release	date	status
MODEL0403888565	1	0	0	0	0	0	0	0	0	0	805	805	L2V1	815	46	1076	805	10	0	9	1	377	0	R12	2008-12-03	non_curated
MODEL0403928902	1	0	0	0	0	0	0	0	0	0	805	805	L2V1	815	46	1076	805	10	0	9	1	377	0	R12	2008-12-03	non_curated
MODEL0403954746	1	0	0	0	0	0	0	0	0	0	805	805	L2V1	815	46	1076	805	10	0	9	1	377	0	R12	2008-12-03	non_curated
MODEL0403988150	1	0	0	0	0	0	0	0	0	0	806	806	L2V1	816	46	1078	806	10	0	9	1	377	0	R12	2008-12-03	non_curated
MODEL0404023805	1	0	0	0	0	0	0	0	0	0	806	806	L2V1	816	46	1078	806	10	0	9	1	377	0	R12	2008-12-03	non_curated
MODEL0568648427	3	0	0	0	0	0	0	0	0	0	0	0	L2V3	0	0	0	33	0	0	0	0	33	0	R12	2008-12-03	non_curated
MODEL0975191032	1	0	0	0	0	0	0	0	0	0	133	133	L2V3	133	0	219	133	0	0	0	0	116	4	R12	2008-12-03	non_curated
MODEL0995500644	1	0	0	0	0	0	0	0	0	0	13	13	L2V1	13	0	41	13	0	0	0	0	12	0	R12	2008-12-03	non_curated
MODEL2021729243	1	0	0	0	0	0	0	0	0	0	0	0	L2V1	0	0	0	2824	0	0	0	0	2715	0	R12	2008-12-03	non_curated
MODEL2021747594	1	0	0	0	0	0	0	0	0	0	0	0	L2V1	0	0	0	2824	0	0	0	0	2715	0	R12	2008-12-03	non_curated
MODEL2426780967	1	0	0	0	0	0	0	0	0	0	19	19	L2V1	19	0	88	19	0	0	0	0	25	0	R12	2008-12-03	non_curated
MODEL2427021978	1	0	0	0	0	0	0	0	0	0	19	19	L2V1	19	0	88	19	0	0	0	0	24	0	R12	2008-12-03	non_curated
MODEL2463576061	7	0	0	0	0	0	0	0	0	0	0	0	L2V1	0	0	0	222	0	0	0	0	330	0	R12	2008-12-03	non_curated
MODEL2463683119	9	0	0	0	0	0	0	0	0	0	0	0	L2V1	0	0	0	469	0	0	0	0	680	0	R12	2008-12-03	non_curated
MODEL2504064544	1	0	4	0	5	9	0	4	0	0	51	51	L2V1	67	80	0	51	7	0	7	0	19	2	R12	2008-12-03	non_curated
MODEL2784700357	3	0	0	0	0	0	0	0	0	0	186	186	L2V3	186	1	744	186	0	0	0	0	209	1	R12	2008-12-03	non_curated
MODEL3023609334	3	0	0	0	0	0	0	0	0	0	2382	0	L2V1	0	0	11910	2382	0	0	0	0	1972	1	R12	2008-12-03	non_curated
MODEL3023641273	3	0	0	0	0	0	0	0	0	0	2382	0	L2V1	0	0	11910	2382	0	0	0	0	1972	1	R12	2008-12-03	non_curated
MODEL3579243073	1	0	0	0	0	0	0	0	0	0	16	16	L2V3	16	94	0	16	0	0	0	0	22	0	R12	2008-12-03	non_curated
MODEL3631586579	1	0	0	0	0	0	0	0	0	0	850	850	L2V3	850	0	1661	850	0	0	0	0	436	0	R12	2008-12-03	non_curated
MODEL3632127506	2	0	0	0	0	0	0	0	0	0	1750	1750	L2V3	1750	0	3422	1750	0	0	0	0	872	0	R12	2008-12-03	non_curated
MODEL3897771820	1	0	1	1	1	3	0	1	6	0	39	39	L2V3	78	106	0	39	30	0	30	0	30	3	R12	2008-12-03	non_curated
MODEL4132046015	5	0	0	0	0	0	0	0	0	0	0	0	L2V1	0	0	0	534	0	0	0	0	408	0	R12	2008-12-03	non_curated
MODEL4665428627	2	0	0	0	0	0	0	0	0	0	0	0	L2V3	0	0	0	98	0	0	0	0	61	0	R12	2008-12-03	non_curated
MODEL4780181279	1	0	0	0	0	0	0	0	0	0	11	11	L2V3	11	0	19	11	0	0	0	0	17	3	R12	2008-12-03	non_curated
MODEL4780441670	2	0	0	0	0	0	0	0	0	0	6	6	L2V1	6	0	11	6	0	0	0	0	8	3	R12	2008-12-03	non_curated
MODEL4780784080	2	0	0	0	0	0	0	0	0	0	10	10	L2V1	10	0	16	10	0	0	0	0	14	3	R12	2008-12-03	non_curated
MODEL4816599063	1	0	0	0	0	0	0	0	0	0	8	8	L2V3	9	17	0	8	1	0	1	0	12	3	R12	2008-12-03	non_curated
MODEL4821294342	2	0	0	0	0	0	0	0	0	0	9	9	L2V1	9	0	18	9	0	0	0	0	12	4	R12	2008-12-03	non_curated
MODEL4968912141	2	0	0	0	0	0	0	0	0	0	5	5	L2V1	5	0	10	5	0	0	0	0	8	3	R12	2008-12-03	non_curated
MODEL5073396359	1	0	0	0	0	0	0	0	0	0	53	53	L2V1	53	0	71	53	0	0	0	0	22	0	R12	2008-12-03	non_curated
MODEL5662324959	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R12	2008-12-03	non_curated
MODEL5662377562	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R12	2008-12-03	non_curated
MODEL5662398146	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R12	2008-12-03	non_curated
