	compartments	constraints	events	events_delay	events_event_assignments	events_math	events_priority	events_trigger	function_definitions	initial_assignments	kinetic_laws	kinetic_laws_math	level_version	math	parameters	parameters_local	reactions	rules	rules_algebraic_rules	rules_assignment_rules	rules_rate_rules	species	unit_definitions	release	date	status
MODEL0212154960	1	0	0	0	0	0	0	0	0	0	10	10	L2V1	10	14	0	10	0	0	0	0	5	0	R09	2007-09-25	non_curated
MODEL0995500644	1	0	0	0	0	0	0	0	0	0	13	13	L2V1	13	0	41	13	0	0	0	0	12	0	R09	2007-09-25	non_curated
MODEL2426780967	1	0	0	0	0	0	0	0	0	0	19	19	L2V1	19	0	88	19	0	0	0	0	25	0	R09	2007-09-25	non_curated
MODEL2427021978	1	0	0	0	0	0	0	0	0	0	19	19	L2V1	19	0	88	19	0	0	0	0	24	0	R09	2007-09-25	non_curated
MODEL2427095802	1	0	0	0	0	0	0	0	0	0	19	19	L2V1	19	0	88	19	0	0	0	0	25	0	R09	2007-09-25	non_curated
MODEL2427135959	2	0	0	0	0	0	0	0	0	0	21	21	L2V1	21	0	90	21	0	0	0	0	28	0	R09	2007-09-25	non_curated
MODEL2463576061	7	0	0	0	0	0	0	0	0	0	0	0	L2V1	0	0	0	222	0	0	0	0	330	0	R09	2007-09-25	non_curated
MODEL2463683119	9	0	0	0	0	0	0	0	0	0	0	0	L2V1	0	0	0	469	0	0	0	0	680	0	R09	2007-09-25	non_curated
MODEL3023609334	3	0	0	0	0	0	0	0	0	0	2382	0	L2V1	0	0	11910	2382	0	0	0	0	1972	1	R09	2007-09-25	non_curated
MODEL3023641273	3	0	0	0	0	0	0	0	0	0	2382	0	L2V1	0	0	11910	2382	0	0	0	0	1972	1	R09	2007-09-25	non_curated
MODEL3492630792	1	0	21	0	21	42	0	21	0	0	120	120	L2V1	162	7	119	120	0	0	0	0	64	0	R09	2007-09-25	non_curated
MODEL3492674214	1	0	21	0	21	42	0	21	0	0	152	152	L2V1	194	7	151	152	0	0	0	0	75	0	R09	2007-09-25	non_curated
MODEL4734733125	2	0	0	0	0	0	0	0	0	0	12	12	L2V1	12	0	24	12	0	0	0	0	14	3	R09	2007-09-25	non_curated
MODEL4779732381	2	0	0	0	0	0	0	0	0	0	9	9	L2V1	10	0	17	9	1	0	1	0	14	3	R09	2007-09-25	non_curated
MODEL4780181279	2	0	0	0	0	0	0	0	0	0	11	11	L2V1	11	0	19	11	0	0	0	0	17	3	R09	2007-09-25	non_curated
MODEL4780441670	2	0	0	0	0	0	0	0	0	0	6	6	L2V1	6	0	11	6	0	0	0	0	8	3	R09	2007-09-25	non_curated
MODEL4780784080	2	0	0	0	0	0	0	0	0	0	10	10	L2V1	10	0	16	10	0	0	0	0	14	3	R09	2007-09-25	non_curated
MODEL4816599063	2	0	0	0	0	0	0	0	0	0	8	8	L2V1	8	0	16	8	0	0	0	0	12	3	R09	2007-09-25	non_curated
MODEL4821294342	2	0	0	0	0	0	0	0	0	0	9	9	L2V1	9	0	18	9	0	0	0	0	12	4	R09	2007-09-25	non_curated
MODEL4968912141	2	0	0	0	0	0	0	0	0	0	5	5	L2V1	5	0	10	5	0	0	0	0	8	3	R09	2007-09-25	non_curated
MODEL4969417017	3	0	0	0	0	0	0	0	0	0	14	14	L2V1	14	0	26	14	0	0	0	0	18	3	R09	2007-09-25	non_curated
MODEL5073396359	1	0	0	0	0	0	0	0	0	0	53	53	L2V1	53	0	71	53	0	0	0	0	22	0	R09	2007-09-25	non_curated
MODEL5662324959	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R09	2007-09-25	non_curated
MODEL5662377562	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R09	2007-09-25	non_curated
MODEL5662398146	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R09	2007-09-25	non_curated
MODEL5662425708	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R09	2007-09-25	non_curated
MODEL5974712823	2	0	0	0	0	0	0	0	0	0	6	6	L2V1	6	5	0	6	0	0	0	0	10	5	R09	2007-09-25	non_curated
MODEL6623617994	1	0	0	0	0	0	0	0	0	0	16	16	L2V1	16	0	85	16	0	0	0	0	22	0	R09	2007-09-25	non_curated
MODEL6623628741	1	0	0	0	0	0	0	0	0	0	4	4	L2V1	4	0	16	4	0	0	0	0	10	0	R09	2007-09-25	non_curated
MODEL6624091635	1	0	0	0	0	0	0	0	0	0	29	29	L2V1	29	0	151	29	0	0	0	0	34	0	R09	2007-09-25	non_curated
MODEL6624199343	1	0	0	0	0	0	0	0	0	0	3	3	L2V1	3	0	13	3	0	0	0	0	5	0	R09	2007-09-25	non_curated
MODEL6762427183	1	0	0	0	0	0	0	0	0	0	0	0	L2V1	23	37	0	0	23	0	18	5	0	10	R09	2007-09-25	non_curated
MODEL8262229752	1	0	0	0	0	0	0	0	0	0	25	25	L2V1	25	25	0	25	0	0	0	0	21	2	R09	2007-09-25	non_curated
MODEL8293171637	1	0	0	0	0	0	0	0	0	0	19	19	L2V1	19	0	87	19	0	0	0	0	25	2	R09	2007-09-25	non_curated
