	compartments	constraints	events	events_delay	events_event_assignments	events_math	events_priority	events_trigger	function_definitions	initial_assignments	kinetic_laws	kinetic_laws_math	level_version	math	parameters	parameters_local	reactions	rules	rules_algebraic_rules	rules_assignment_rules	rules_rate_rules	species	unit_definitions	release	date	status
MODEL0995500644	1	0	0	0	0	0	0	0	0	0	13	13	L2V1	13	0	41	13	0	0	0	0	12	0	R07	2007-01-05	non_curated
MODEL2463576061	7	0	0	0	0	0	0	0	0	0	0	0	L2V1	0	0	0	222	0	0	0	0	330	0	R07	2007-01-05	non_curated
MODEL2463683119	9	0	0	0	0	0	0	0	0	0	0	0	L2V1	0	0	0	469	0	0	0	0	680	0	R07	2007-01-05	non_curated
MODEL3492630792	1	0	21	0	21	42	0	21	0	0	120	120	L2V1	162	7	119	120	0	0	0	0	64	0	R07	2007-01-05	non_curated
MODEL3492674214	1	0	21	0	21	42	0	21	0	0	152	152	L2V1	194	7	151	152	0	0	0	0	75	0	R07	2007-01-05	non_curated
MODEL4023382414	2	0	0	0	0	0	0	0	1	0	11	11	L2V1	12	0	13	11	0	0	0	0	7	2	R07	2007-01-05	non_curated
MODEL4024559990	2	0	0	0	0	0	0	0	3	0	8	8	L2V1	11	4	13	8	0	0	0	0	10	3	R07	2007-01-05	non_curated
MODEL4025634026	1	0	0	0	0	0	0	0	0	0	46	46	L2V1	46	92	0	46	0	0	0	0	20	0	R07	2007-01-05	non_curated
MODEL4025650992	1	0	0	0	0	0	0	0	0	0	46	46	L2V1	46	91	0	46	0	0	0	0	20	0	R07	2007-01-05	non_curated
MODEL4025663985	1	0	0	0	0	0	0	0	0	0	46	46	L2V1	46	90	0	46	0	0	0	0	20	0	R07	2007-01-05	non_curated
MODEL4025803561	1	0	1	0	1	2	0	1	1	0	0	0	L2V1	20	82	0	0	17	0	0	17	16	1	R07	2007-01-05	non_curated
MODEL4734733125	2	0	0	0	0	0	0	0	0	0	12	12	L2V1	12	0	24	12	0	0	0	0	14	3	R07	2007-01-05	non_curated
MODEL4779732381	2	0	0	0	0	0	0	0	0	0	9	9	L2V1	10	0	17	9	1	0	1	0	14	3	R07	2007-01-05	non_curated
MODEL4780181279	2	0	0	0	0	0	0	0	0	0	11	11	L2V1	11	0	19	11	0	0	0	0	17	3	R07	2007-01-05	non_curated
MODEL4780441670	2	0	0	0	0	0	0	0	0	0	6	6	L2V1	6	0	11	6	0	0	0	0	8	3	R07	2007-01-05	non_curated
MODEL4780784080	2	0	0	0	0	0	0	0	0	0	10	10	L2V1	10	0	16	10	0	0	0	0	14	3	R07	2007-01-05	non_curated
MODEL4816599063	2	0	0	0	0	0	0	0	0	0	8	8	L2V1	8	0	16	8	0	0	0	0	12	3	R07	2007-01-05	non_curated
MODEL4821294342	2	0	0	0	0	0	0	0	0	0	9	9	L2V1	9	0	18	9	0	0	0	0	12	4	R07	2007-01-05	non_curated
MODEL5662324959	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R07	2007-01-05	non_curated
MODEL5662377562	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R07	2007-01-05	non_curated
MODEL5662398146	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R07	2007-01-05	non_curated
MODEL5662425708	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R07	2007-01-05	non_curated
MODEL5974712823	2	0	0	0	0	0	0	0	0	0	6	6	L2V1	6	5	0	6	0	0	0	0	10	5	R07	2007-01-05	non_curated
MODEL6623597435	1	0	0	0	0	0	0	0	0	0	3	3	L2V1	3	0	4	3	0	0	0	0	5	0	R07	2007-01-05	non_curated
MODEL6623610941	1	0	0	0	0	0	0	0	0	0	8	8	L2V1	8	0	18	8	0	0	0	0	8	0	R07	2007-01-05	non_curated
MODEL6623617994	1	0	0	0	0	0	0	0	0	0	16	16	L2V1	16	0	85	16	0	0	0	0	22	0	R07	2007-01-05	non_curated
MODEL6623628741	1	0	0	0	0	0	0	0	0	0	4	4	L2V1	4	0	16	4	0	0	0	0	10	0	R07	2007-01-05	non_curated
MODEL6624091635	1	0	0	0	0	0	0	0	0	0	29	29	L2V1	29	0	151	29	0	0	0	0	34	0	R07	2007-01-05	non_curated
MODEL6624199343	1	0	0	0	0	0	0	0	0	0	3	3	L2V1	3	0	13	3	0	0	0	0	5	0	R07	2007-01-05	non_curated
