	compartments	constraints	events	events_delay	events_event_assignments	events_math	events_priority	events_trigger	function_definitions	initial_assignments	kinetic_laws	kinetic_laws_math	level_version	math	parameters	parameters_local	reactions	rules	rules_algebraic_rules	rules_assignment_rules	rules_rate_rules	species	unit_definitions	release	date	status
MODEL8268650277	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	8.0	L2V4	9.0	8.0	0.0	8.0	1.0	0.0	1.0	0.0	4.0	8.0	R30	2016-05-10	non_curated
MODEL8459127548	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	34.0	L2V4	34.0	37.0	0.0	34.0	0.0	0.0	0.0	0.0	30.0	6.0	R30	2016-05-10	non_curated
MODEL8478881246	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	69.0	L2V1	69.0	3.0	98.0	69.0	0.0	0.0	0.0	0.0	32.0	5.0	R30	2016-05-10	non_curated
MODEL8568434338	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V1	0.0	0.0	0.0	219.0	0.0	0.0	0.0	0.0	225.0	0.0	R30	2016-05-10	non_curated
MODEL8683876463	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	87.0	153.0	0.0	0.0	87.0	0.0	65.0	22.0	0.0	17.0	R30	2016-05-10	non_curated
MODEL8684444027	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	63.0	153.0	0.0	0.0	63.0	0.0	30.0	33.0	0.0	11.0	R30	2016-05-10	non_curated
MODEL8685104549	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	94.0	188.0	0.0	0.0	94.0	0.0	68.0	26.0	0.0	17.0	R30	2016-05-10	non_curated
MODEL8686121468	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	16.0	27.0	0.0	0.0	16.0	0.0	12.0	4.0	0.0	7.0	R30	2016-05-10	non_curated
MODEL8687196544	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	25.0	47.0	0.0	0.0	25.0	0.0	20.0	5.0	0.0	7.0	R30	2016-05-10	non_curated
MODEL8687732743	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	8.0	27.0	0.0	0.0	8.0	0.0	2.0	6.0	0.0	6.0	R30	2016-05-10	non_curated
MODEL8938094216	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	16.0	L2V1	18.0	16.0	0.0	16.0	2.0	0.0	2.0	0.0	15.0	1.0	R30	2016-05-10	non_curated
MODEL9070467164	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	99.0	L2V1	102.0	0.0	169.0	99.0	3.0	0.0	3.0	0.0	94.0	4.0	R30	2016-05-10	non_curated
MODEL9071122126	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	65.0	L2V1	66.0	0.0	108.0	65.0	1.0	0.0	1.0	0.0	64.0	3.0	R30	2016-05-10	non_curated
MODEL9071773985	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	82.0	L2V1	83.0	0.0	139.0	82.0	1.0	0.0	1.0	0.0	73.0	4.0	R30	2016-05-10	non_curated
MODEL9077438479	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	23.0	L2V1	23.0	0.0	43.0	23.0	0.0	0.0	0.0	0.0	29.0	5.0	R30	2016-05-10	non_curated
MODEL9079179924	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	81.0	L2V1	82.0	0.0	136.0	81.0	1.0	0.0	1.0	0.0	81.0	3.0	R30	2016-05-10	non_curated
MODEL9079740062	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	23.0	L2V1	23.0	0.0	43.0	23.0	0.0	0.0	0.0	0.0	29.0	5.0	R30	2016-05-10	non_curated
