time	[A]	[C]	[D]	[dummy_S]	[fba__A]	[fba__B1]	[fba__B2]	[fba__C]	R4	dummy_EX_A	dummy_EX_C	fba__R1	fba__R2	fba__R3	update__update_A	update__update_C	EX_A	EX_C	bounds__k1	bounds__lb_default	bounds__ub_R1	dt	fba__lb	fba__ub	fba__ub_R1	k_R4	lb_EX_A	lb_EX_C	ub_EX_A	ub_EX_C
0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2	-1000.0	1.0	0.1	0.0	1000.0	1.0	0.1	0.0	0.0	1000.0	1000.0
0.1	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2	-1000.0	0.980201526109	0.1	0.0	1000.0	1.0	0.1	0.0	0.0	1000.0	1000.0
0.2	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2	-1000.0	0.960795031786	0.1	0.0	1000.0	1.0	0.1	0.0	0.0	1000.0	1000.0
0.3	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2	-1000.0	0.941772756434	0.1	0.0	1000.0	1.0	0.1	0.0	0.0	1000.0	1000.0
0.4	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2	-1000.0	0.923127093104	0.1	0.0	1000.0	1.0	0.1	0.0	0.0	1000.0	1000.0
0.5	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2	-1000.0	0.904850585453	0.1	0.0	1000.0	1.0	0.1	0.0	0.0	1000.0	1000.0
0.6	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2	-1000.0	0.886935924762	0.1	0.0	1000.0	1.0	0.1	0.0	0.0	1000.0	1000.0
0.7	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2	-1000.0	0.869375947012	0.1	0.0	1000.0	1.0	0.1	0.0	0.0	1000.0	1000.0
0.8	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2	-1000.0	0.852163630024	0.1	0.0	1000.0	1.0	0.1	0.0	0.0	1000.0	1000.0
0.9	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2	-1000.0	0.835292090644	0.1	0.0	1000.0	1.0	0.1	0.0	0.0	1000.0	1000.0
