time	[Ac]	[Glcxt]	[O2]	[X]	[dummy_S]	dummy_EX_Ac	dummy_EX_Glcxt	dummy_EX_O2	dummy_EX_X	fba__v1	fba__v2	fba__v3	fba__v4	update__update_Ac	update__update_Glcxt	update__update_O2	update__update_X	vO2_transfer	EX_Ac	EX_Glcxt	EX_O2	EX_X	O2_ref	Y	bounds__Km_EX_Glcxt	bounds__Vmax_EX_Glcxt	bounds__Vmax_EX_O2	bounds__lb_default	bounds__lb_kin_EX_Glcxt	bounds__lb_kin_EX_O2	bounds__ub_default	bounds__zero	dt	fba__lb_default	fba__ub_default	fba__zero	kLa	lb_EX_Ac	lb_EX_Glcxt	lb_EX_O2	lb_EX_X	ub_EX_Ac	ub_EX_Glcxt	ub_EX_O2	ub_EX_X
0.0	0.4	10.8	0.21	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.16253869969	0.0	0.439340315934	-5.32480462912	9.98613037448	2.1	-0.601879015624	0.0	5.32480462912	-9.98613037448	-2.1	0.601879015624	0.21	0.001	0.015	10.0	15.0	-1000.0	-9.98613037448	-15.0	1000.0	0.0	0.1	-1000.0	1000.0	0.0	7.5	-4.0	-9.98613037448	-2.1	-0.01	1000.0	1000.0	1000.0	1000.0
0.1	0.932480462912	9.80138696255	0.0622549711092	0.0611879015624	0.0	0.0	0.0	0.0	0.0	0.0	0.16253869969	0.0	0.439340315934	-5.32480462912	9.98613037448	2.1	-0.601879015624	1.10808771668	5.32480462912	-9.98613037448	-2.1	0.601879015624	0.21	0.0611879015624	0.015	10.0	15.0	-1000.0	-9.98471942879	-15.0	1000.0	0.0	0.1	-1000.0	1000.0	0.0	7.5	-9.32480462912	-9.98471942879	-0.622549711092	-0.611879015624	1000.0	1000.0	1000.0	1000.0
0.2	1.53305322944	8.80291501967	0.0964132406187	0.115558606238	0.0	0.0	0.0	0.0	0.0	0.0	0.0481849621588	0.0	0.495522084595	-6.0057276653	9.98471942879	0.622549711092	-0.543707046754	0.851900695359	6.0057276653	-9.98471942879	-0.622549711092	0.543707046754	0.21	0.115558606238	0.015	10.0	15.0	-1000.0	-9.98298917605	-15.0	1000.0	0.0	0.1	-1000.0	1000.0	0.0	7.5	-15.3305322944	-9.98298917605	-0.964132406187	-1.15558606238	1000.0	1000.0	1000.0	1000.0
0.3	2.11775361954	7.80461610207	0.0885146980116	0.171263537807	0.0	0.0	0.0	0.0	0.0	0.0	0.0746232512529	0.0	0.482426064441	-5.84700390102	9.98298917605	0.964132406187	-0.557049315694	0.911139764913	5.84700390102	-9.98298917605	-0.964132406187	0.557049315694	0.21	0.171263537807	0.015	10.0	15.0	-1000.0	-9.98081747262	-15.0	1000.0	0.0	0.1	-1000.0	1000.0	0.0	7.5	-21.1775361954	-9.98081747262	-0.885146980116	-1.71263537807	1000.0	1000.0	1000.0	1000.0
0.4	2.70596214641	6.80653435481	0.0903463923939	0.226646577297	0.0	0.0	0.0	0.0	0.0	0.0	0.0685098281823	0.0	0.485320566719	-5.88208526864	9.98081747262	0.885146980116	-0.553830394902	0.897402057046	5.88208526864	-9.98081747262	-0.885146980116	0.553830394902	0.21	0.226646577297	0.015	10.0	15.0	-1000.0	-9.9780108122	-15.0	1000.0	0.0	0.1	-1000.0	1000.0	0.0	7.5	-27.0596214641	-9.9780108122	-0.903463923939	-2.26646577297	1000.0	1000.0	1000.0	1000.0
0.5	3.29314849071	5.80873327359	0.0899197445461	0.282087050303	0.0	0.0	0.0	0.0	0.0	0.0	0.0699275482925	0.0	0.484477181766	-5.871863443	9.9780108122	0.903463923939	-0.554404730058	0.900601915905	5.871863443	-9.9780108122	-0.903463923939	0.554404730058	0.21	0.282087050303	0.015	10.0	15.0	-1000.0	-9.9742433259	-15.0	1000.0	0.0	0.1	-1000.0	1000.0	0.0	7.5	-32.9314849071	-9.9742433259	-0.899197445461	-2.82087050303	1000.0	1000.0	1000.0	1000.0
0.6	3.88029427248	4.811308941	0.0900183393863	0.337491154287	0.0	0.0	0.0	0.0	0.0	0.0	0.0695973255	0.0	0.484443714335	-5.87145781774	9.9742433259	0.899197445461	-0.554041039835	0.899862454603	5.87145781774	-9.9742433259	-0.899197445461	0.554041039835	0.21	0.337491154287	0.015	10.0	15.0	-1000.0	-9.96892034848	-15.0	1000.0	0.0	0.1	-1000.0	1000.0	0.0	7.5	-38.8029427248	-9.96892034848	-0.900183393863	-3.37491154287	1000.0	1000.0	1000.0	1000.0
0.7	4.46705906606	3.81441690615	0.0899961755479	0.39287145478	0.0	0.0	0.0	0.0	0.0	0.0	0.0696736372959	0.0	0.484129367637	-5.86764793576	9.96892034848	0.900183393863	-0.553803004933	0.900028683391	5.86764793576	-9.96892034848	-0.900183393863	0.553803004933	0.21	0.39287145478	0.015	10.0	15.0	-1000.0	-9.96082954568	-15.0	1000.0	0.0	0.1	-1000.0	1000.0	0.0	7.5	-44.6705906606	-9.96082954568	-0.899961755479	-3.9287145478	1000.0	1000.0	1000.0	1000.0
0.8	5.05332415263	2.81833395158	0.0900006075294	0.448208809855	0.0	0.0	0.0	0.0	0.0	0.0	0.0696564826222	0.0	0.483717068127	-5.86265086569	9.96082954568	0.899961755479	-0.553373550749	0.899995443529	5.86265086569	-9.96082954568	-0.899961755479	0.553373550749	0.21	0.448208809855	0.015	10.0	15.0	-1000.0	-9.94705883508	-15.0	1000.0	0.0	0.1	-1000.0	1000.0	0.0	7.5	-50.5332415263	-9.94705883508	-0.900006075294	-4.48208809855	1000.0	1000.0	1000.0	1000.0
0.9	5.63871927395	1.82362806807	0.0899999288044	0.503474728652	0.0	0.0	0.0	0.0	0.0	0.0	0.0696599129485	0.0	0.482999275018	-5.85395121321	9.94705883508	0.900006075294	-0.552659187966	0.900000533967	5.85395121321	-9.94705883508	-0.900006075294	0.552659187966	0.21	0.503474728652	0.015	10.0	15.0	-1000.0	-9.91841743167	-15.0	1000.0	0.0	0.1	-1000.0	1000.0	0.0	7.5	-56.3871927395	-9.91841743167	-0.899999288044	-5.03474728652	1000.0	1000.0	1000.0	1000.0
