	compartments	constraints	events	events_delay	events_event_assignments	events_math	events_priority	events_trigger	function_definitions	initial_assignments	kinetic_laws	kinetic_laws_math	level_version	math	parameters	parameters_local	reactions	rules	rules_algebraic_rules	rules_assignment_rules	rules_rate_rules	species	unit_definitions	release	date	status
BIOMD0000000001	1	0	1	0	8	9	0	1	0	0	17	17	L2V1	26	35	0	17	0	0	0	0	12	0	R14	2009-06-16	curated
BIOMD0000000002	1	0	0	0	0	0	0	0	0	0	17	17	L2V1	17	34	0	17	0	0	0	0	13	0	R14	2009-06-16	curated
BIOMD0000000003	1	0	0	0	0	0	0	0	0	0	7	7	L2V1	9	5	10	7	2	0	2	0	3	0	R14	2009-06-16	curated
BIOMD0000000004	1	0	0	0	0	0	0	0	0	0	7	7	L2V1	9	5	10	7	2	0	2	0	5	0	R14	2009-06-16	curated
BIOMD0000000005	1	0	0	0	0	0	0	0	0	0	9	9	L2V3	11	0	10	9	2	0	2	0	9	0	R14	2009-06-16	curated
BIOMD0000000006	1	0	0	0	0	0	0	0	0	0	3	3	L2V1	3	0	4	3	0	0	0	0	3	0	R14	2009-06-16	curated
BIOMD0000000007	1	0	2	1	3	6	0	2	0	0	25	25	L2V1	46	49	0	25	15	0	14	1	22	1	R14	2009-06-16	curated
BIOMD0000000008	1	0	0	0	0	0	0	0	0	0	13	13	L2V1	15	5	18	13	2	0	2	0	5	0	R14	2009-06-16	curated
BIOMD0000000009	1	0	0	0	0	0	0	0	0	0	20	20	L2V1	20	0	30	20	0	0	0	0	22	1	R14	2009-06-16	curated
BIOMD0000000010	1	0	0	0	0	0	0	0	0	0	10	10	L2V1	10	0	22	10	0	0	0	0	8	1	R14	2009-06-16	curated
BIOMD0000000011	1	0	0	0	0	0	0	0	0	0	30	30	L2V1	30	0	30	30	0	0	0	0	22	0	R14	2009-06-16	curated
BIOMD0000000012	1	0	0	0	0	0	0	0	0	0	12	12	L2V1	21	16	0	12	9	0	9	0	6	3	R14	2009-06-16	curated
BIOMD0000000013	2	0	0	0	0	0	0	0	0	0	21	21	L2V1	21	1	76	21	0	0	0	0	27	1	R14	2009-06-16	curated
BIOMD0000000014	1	0	0	0	0	0	0	0	0	0	300	300	L2V1	300	0	300	300	0	0	0	0	86	0	R14	2009-06-16	curated
BIOMD0000000015	1	0	0	0	0	0	0	0	0	0	37	37	L2V1	37	0	111	37	0	0	0	0	18	2	R14	2009-06-16	curated
BIOMD0000000016	3	0	0	0	0	0	0	0	0	0	10	10	L2V1	11	0	18	10	1	0	1	0	7	2	R14	2009-06-16	curated
BIOMD0000000017	1	0	0	0	0	0	0	0	0	0	14	14	L2V1	14	0	71	14	0	0	0	0	19	0	R14	2009-06-16	curated
BIOMD0000000018	2	0	0	0	0	0	0	0	0	0	47	47	L2V1	49	1	106	47	2	0	2	0	33	2	R14	2009-06-16	curated
BIOMD0000000019	3	0	0	0	0	0	0	0	0	0	125	125	L2V1	133	90	0	125	8	0	8	0	100	7	R14	2009-06-16	curated
BIOMD0000000020	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	18	27	0	0	18	0	14	4	0	1	R14	2009-06-16	curated
BIOMD0000000021	2	0	0	0	0	0	0	0	0	0	24	24	L2V1	26	4	44	24	2	0	2	0	10	2	R14	2009-06-16	curated
BIOMD0000000022	3	0	0	0	0	0	0	0	0	0	32	32	L2V1	32	0	66	32	0	0	0	0	13	2	R14	2009-06-16	curated
BIOMD0000000023	1	0	0	0	0	0	0	0	0	0	11	11	L2V1	11	0	54	11	0	0	0	0	13	2	R14	2009-06-16	curated
BIOMD0000000024	1	0	0	0	0	0	0	0	0	0	4	4	L2V1	4	0	8	4	0	0	0	0	3	1	R14	2009-06-16	curated
BIOMD0000000025	1	0	2	0	2	4	0	2	0	0	4	4	L2V1	8	0	8	4	0	0	0	0	4	2	R14	2009-06-16	curated
BIOMD0000000026	1	0	0	0	0	0	0	0	0	0	10	10	L2V1	10	16	0	10	0	0	0	0	11	1	R14	2009-06-16	curated
BIOMD0000000027	1	0	0	0	0	0	0	0	0	0	4	4	L2V1	4	9	0	4	0	0	0	0	5	1	R14	2009-06-16	curated
BIOMD0000000028	1	0	0	0	0	0	0	0	0	0	17	17	L2V1	17	27	0	17	0	0	0	0	16	1	R14	2009-06-16	curated
BIOMD0000000029	1	0	0	0	0	0	0	0	0	0	7	7	L2V1	7	15	0	7	0	0	0	0	6	1	R14	2009-06-16	curated
BIOMD0000000030	1	0	0	0	0	0	0	0	0	0	20	20	L2V1	20	32	0	20	0	0	0	0	18	1	R14	2009-06-16	curated
BIOMD0000000031	1	0	0	0	0	0	0	0	0	0	4	4	L2V1	4	9	0	4	0	0	0	0	6	1	R14	2009-06-16	curated
BIOMD0000000032	2	0	0	0	0	0	0	0	0	0	47	47	L2V1	47	0	47	47	0	0	0	0	37	6	R14	2009-06-16	curated
BIOMD0000000033	1	0	0	0	0	0	0	0	0	0	26	26	L2V1	26	48	0	26	0	0	0	0	32	2	R14	2009-06-16	curated
BIOMD0000000034	2	0	0	0	0	0	0	0	0	0	22	22	L2V1	28	45	0	22	6	0	0	6	9	2	R14	2009-06-16	curated
BIOMD0000000035	1	0	0	0	0	0	0	0	0	0	16	16	L2V1	16	0	16	16	0	0	0	0	10	1	R14	2009-06-16	curated
BIOMD0000000036	2	0	0	0	0	0	0	0	0	0	5	5	L2V1	5	1	10	5	0	0	0	0	3	1	R14	2009-06-16	curated
BIOMD0000000037	1	0	0	0	0	0	0	0	0	0	12	12	L2V1	12	0	12	12	0	0	0	0	12	1	R14	2009-06-16	curated
BIOMD0000000038	1	0	0	0	0	0	0	0	0	0	10	10	L2V1	10	0	20	10	0	0	0	0	17	2	R14	2009-06-16	curated
BIOMD0000000039	3	0	0	0	0	0	0	0	0	0	7	7	L2V1	7	0	11	7	0	0	0	0	5	1	R14	2009-06-16	curated
BIOMD0000000040	1	0	0	0	0	0	0	0	0	0	5	5	L2V1	5	1	5	5	0	0	0	0	5	0	R14	2009-06-16	curated
BIOMD0000000041	2	0	0	0	0	0	0	0	0	0	9	9	L2V1	9	0	25	9	0	0	0	0	10	1	R14	2009-06-16	curated
BIOMD0000000042	1	0	0	0	0	0	0	0	0	0	25	25	L2V1	25	25	0	25	0	0	0	0	15	2	R14	2009-06-16	curated
BIOMD0000000043	3	0	0	0	0	0	0	0	0	0	7	7	L2V1	7	3	10	7	0	0	0	0	5	2	R14	2009-06-16	curated
BIOMD0000000044	3	0	0	0	0	0	0	0	0	0	8	8	L2V1	8	1	16	8	0	0	0	0	7	2	R14	2009-06-16	curated
BIOMD0000000045	4	0	0	0	0	0	0	0	0	0	8	8	L2V1	8	1	14	8	0	0	0	0	4	2	R14	2009-06-16	curated
BIOMD0000000046	1	0	0	0	0	0	0	0	0	0	15	15	L2V1	15	0	15	15	0	0	0	0	16	1	R14	2009-06-16	curated
BIOMD0000000047	2	0	0	0	0	0	0	0	0	0	3	3	L2V1	7	13	4	3	4	0	3	1	2	2	R14	2009-06-16	curated
BIOMD0000000048	1	0	0	0	0	0	0	0	0	0	25	25	L2V1	25	0	50	25	0	0	0	0	23	1	R14	2009-06-16	curated
BIOMD0000000049	2	0	0	0	0	0	0	0	0	0	150	150	L2V1	150	0	234	150	0	0	0	0	99	1	R14	2009-06-16	curated
BIOMD0000000050	1	0	0	0	0	0	0	0	0	0	16	16	L2V1	16	0	16	16	0	0	0	0	14	2	R14	2009-06-16	curated
BIOMD0000000051	2	0	0	0	0	0	0	0	0	0	48	48	L2V1	55	7	135	48	7	0	7	0	18	5	R14	2009-06-16	curated
BIOMD0000000052	1	0	0	0	0	0	0	0	0	0	11	11	L2V1	11	0	11	11	0	0	0	0	11	2	R14	2009-06-16	curated
BIOMD0000000053	1	0	0	0	0	0	0	0	0	0	12	12	L2V1	14	2	29	12	2	0	2	0	6	1	R14	2009-06-16	curated
BIOMD0000000054	1	0	0	0	0	0	0	0	0	0	5	5	L2V1	7	10	0	5	2	0	2	0	3	2	R14	2009-06-16	curated
BIOMD0000000055	1	0	0	0	0	0	0	0	1	0	32	32	L2V1	33	65	2	32	0	0	0	0	13	2	R14	2009-06-16	curated
BIOMD0000000056	1	0	4	0	10	14	0	4	5	0	94	94	L2V1	148	163	1	94	35	0	35	0	54	1	R14	2009-06-16	curated
BIOMD0000000057	1	0	0	0	0	0	0	0	0	0	5	5	L2V1	13	27	6	5	8	0	8	0	6	1	R14	2009-06-16	curated
