study	substance	E	D	v
Varma1994	oxygen	1.50	0.19	7.79
Varma1994	oxygen	1.50	0.25	9.39
Varma1994	oxygen	1.50	0.27	10.01
Varma1994	oxygen	1.50	0.35	10.94
Varma1994	oxygen	1.50	0.39	12.36
Varma1994	oxygen	1.50	0.45	16.93
Varma1994	oxygen	1.50	0.50	12.86
Varma1994	oxygen	1.50	0.50	14.26
Varma1994	oxygen	1.50	0.62	14.87
Varma1994	oxygen	1.50	0.69	16.22
Varma1994	glucose	0.30	0.06	1.24
Varma1994	glucose	0.30	0.18	2.92
Varma1994	glucose	0.30	0.19	3.19
Varma1994	glucose	0.30	0.25	3.68
Varma1994	glucose	0.30	0.28	4.12
Varma1994	glucose	0.30	0.27	4.95
Varma1994	glucose	0.30	0.35	5.15
Varma1994	glucose	0.30	0.39	5.92
Varma1994	glucose	0.30	0.45	7.08
Varma1994	glucose	0.30	0.49	7.53
Varma1994	glucose	0.30	0.50	7.32
Varma1994	glucose	0.30	0.50	7.16
Varma1994	glucose	0.30	0.62	8.73
Varma1994	glucose	0.30	0.69	10.84
Varma1994	acetate	0.35	0.06	-0.03
Varma1994	acetate	0.35	0.19	0.11
Varma1994	acetate	0.35	0.25	-0.01
Varma1994	acetate	0.35	0.27	0.01
Varma1994	acetate	0.35	0.28	0.10
Varma1994	acetate	0.35	0.35	0.00
Varma1994	acetate	0.35	0.39	0.00
Varma1994	acetate	0.35	0.45	0.29
Varma1994	acetate	0.35	0.49	1.14
Varma1994	acetate	0.35	0.50	0.43
Varma1994	acetate	0.35	0.62	1.12
Varma1994	acetate	0.35	0.69	4.09

