time	MKKK	MKKK_P	MKK	MKK_P	MKK_PP	MAPK	MAPK_P	MAPK_PP
0.0	90.0	10.0	280.0	10.0	10.0	280.0	10.0	10.0
15.0	74.0	26.0	277.0	13.0	10.0	278.0	14.0	8.0
30.0	62.0	38.0	270.0	17.0	13.0	278.0	15.0	7.0
45.0	43.0	57.0	252.0	35.0	13.0	278.0	14.0	8.0
60.0	29.0	71.0	232.0	44.0	24.0	275.0	18.0	7.0
75.0	17.0	83.0	210.0	47.0	43.0	268.0	17.0	15.0
90.0	15.0	85.0	192.0	34.0	74.0	254.0	23.0	23.0
105.0	10.0	90.0	177.0	39.0	84.0	226.0	39.0	35.0
120.0	7.0	93.0	151.0	56.0	93.0	200.0	54.0	46.0
135.0	7.0	93.0	120.0	69.0	111.0	157.0	72.0	71.0
150.0	12.0	88.0	89.0	79.0	132.0	128.0	67.0	105.0
165.0	14.0	86.0	61.0	95.0	144.0	78.0	84.0	138.0
180.0	19.0	81.0	39.0	110.0	151.0	51.0	64.0	185.0
195.0	21.0	79.0	32.0	105.0	163.0	15.0	48.0	237.0
210.0	24.0	76.0	17.0	117.0	166.0	3.0	25.0	272.0
225.0	28.0	72.0	12.0	108.0	180.0	0.0	5.0	295.0
240.0	34.0	66.0	13.0	90.0	197.0	0.0	2.0	298.0
255.0	40.0	60.0	7.0	85.0	208.0	0.0	1.0	299.0
270.0	40.0	60.0	13.0	60.0	227.0	0.0	1.0	299.0
285.0	40.0	60.0	11.0	62.0	227.0	1.0	5.0	294.0
300.0	42.0	58.0	8.0	59.0	233.0	0.0	4.0	296.0
315.0	46.0	54.0	12.0	52.0	236.0	0.0	1.0	299.0
330.0	47.0	53.0	18.0	42.0	240.0	0.0	2.0	298.0
345.0	49.0	51.0	12.0	38.0	250.0	0.0	1.0	299.0
360.0	52.0	48.0	7.0	31.0	262.0	0.0	0.0	300.0
375.0	56.0	44.0	6.0	35.0	259.0	0.0	1.0	299.0
390.0	55.0	45.0	8.0	31.0	261.0	0.0	0.0	300.0
405.0	57.0	43.0	8.0	32.0	260.0	0.0	0.0	300.0
420.0	57.0	43.0	5.0	41.0	254.0	0.0	0.0	300.0
435.0	58.0	42.0	11.0	33.0	256.0	0.0	1.0	299.0
450.0	63.0	37.0	15.0	33.0	252.0	0.0	2.0	298.0
465.0	64.0	36.0	23.0	19.0	258.0	0.0	2.0	298.0
480.0	67.0	33.0	25.0	22.0	253.0	0.0	1.0	299.0
495.0	67.0	33.0	24.0	21.0	255.0	0.0	1.0	299.0
510.0	66.0	34.0	23.0	29.0	248.0	0.0	1.0	299.0
525.0	68.0	32.0	25.0	33.0	242.0	0.0	0.0	300.0
540.0	69.0	31.0	21.0	36.0	243.0	0.0	0.0	300.0
555.0	70.0	30.0	21.0	34.0	245.0	0.0	2.0	298.0
570.0	75.0	25.0	17.0	48.0	235.0	0.0	2.0	298.0
585.0	80.0	20.0	24.0	50.0	226.0	0.0	0.0	300.0
600.0	81.0	19.0	27.0	44.0	229.0	0.0	1.0	299.0
615.0	82.0	18.0	32.0	43.0	225.0	0.0	0.0	300.0
630.0	84.0	16.0	40.0	34.0	226.0	1.0	2.0	297.0
645.0	88.0	12.0	46.0	33.0	221.0	0.0	2.0	298.0
660.0	91.0	9.0	56.0	30.0	214.0	0.0	2.0	298.0
675.0	91.0	9.0	64.0	34.0	202.0	0.0	3.0	297.0
690.0	93.0	7.0	69.0	34.0	197.0	0.0	3.0	297.0
705.0	94.0	6.0	77.0	43.0	180.0	0.0	1.0	299.0
720.0	94.0	6.0	85.0	51.0	164.0	0.0	2.0	298.0
735.0	92.0	8.0	90.0	56.0	154.0	1.0	2.0	297.0
750.0	90.0	10.0	96.0	57.0	147.0	0.0	4.0	296.0
765.0	94.0	6.0	104.0	62.0	134.0	0.0	6.0	294.0
780.0	94.0	6.0	111.0	66.0	123.0	2.0	0.0	298.0
795.0	95.0	5.0	118.0	66.0	116.0	1.0	6.0	293.0
810.0	95.0	5.0	125.0	68.0	107.0	0.0	1.0	299.0
825.0	97.0	3.0	132.0	71.0	97.0	1.0	5.0	294.0
840.0	97.0	3.0	141.0	73.0	86.0	1.0	7.0	292.0
855.0	95.0	5.0	155.0	63.0	82.0	1.0	6.0	293.0
870.0	97.0	3.0	164.0	60.0	76.0	1.0	8.0	291.0
885.0	98.0	2.0	179.0	53.0	68.0	2.0	5.0	293.0
900.0	98.0	2.0	186.0	52.0	62.0	4.0	4.0	292.0
915.0	100.0	0.0	196.0	53.0	51.0	1.0	7.0	292.0
930.0	100.0	0.0	204.0	56.0	40.0	2.0	6.0	292.0
945.0	100.0	0.0	217.0	50.0	33.0	7.0	6.0	287.0
960.0	99.0	1.0	226.0	50.0	24.0	10.0	7.0	283.0
975.0	98.0	2.0	238.0	43.0	19.0	7.0	16.0	277.0
990.0	98.0	2.0	249.0	37.0	14.0	10.0	14.0	276.0
1005.0	97.0	3.0	252.0	42.0	6.0	12.0	14.0	274.0
1020.0	96.0	4.0	263.0	35.0	2.0	14.0	18.0	268.0
1035.0	95.0	5.0	272.0	24.0	4.0	17.0	20.0	263.0
1050.0	93.0	7.0	277.0	21.0	2.0	22.0	19.0	259.0
1065.0	95.0	5.0	281.0	18.0	1.0	27.0	25.0	248.0
1080.0	98.0	2.0	287.0	13.0	0.0	35.0	27.0	238.0
1095.0	99.0	1.0	290.0	10.0	0.0	37.0	29.0	234.0
1110.0	98.0	2.0	294.0	6.0	0.0	43.0	27.0	230.0
1125.0	97.0	3.0	299.0	1.0	0.0	46.0	28.0	226.0
1140.0	97.0	3.0	298.0	2.0	0.0	52.0	31.0	217.0
1155.0	97.0	3.0	298.0	2.0	0.0	60.0	30.0	210.0
1170.0	96.0	4.0	298.0	2.0	0.0	66.0	34.0	200.0
1185.0	96.0	4.0	298.0	2.0	0.0	69.0	41.0	190.0
1200.0	97.0	3.0	297.0	3.0	0.0	74.0	43.0	183.0
1215.0	98.0	2.0	299.0	1.0	0.0	80.0	41.0	179.0
1230.0	96.0	4.0	298.0	2.0	0.0	87.0	47.0	166.0
1245.0	91.0	9.0	297.0	3.0	0.0	92.0	53.0	155.0
1260.0	91.0	9.0	294.0	6.0	0.0	99.0	52.0	149.0
1275.0	90.0	10.0	296.0	3.0	1.0	104.0	53.0	143.0
1290.0	92.0	8.0	295.0	5.0	0.0	109.0	57.0	134.0
1305.0	95.0	5.0	295.0	4.0	1.0	116.0	56.0	128.0
1320.0	94.0	6.0	293.0	5.0	2.0	119.0	69.0	112.0
1335.0	96.0	4.0	294.0	5.0	1.0	128.0	68.0	104.0
1350.0	94.0	6.0	297.0	2.0	1.0	132.0	68.0	100.0
1365.0	91.0	9.0	296.0	3.0	1.0	137.0	69.0	94.0
1380.0	92.0	8.0	292.0	8.0	0.0	139.0	75.0	86.0
1395.0	89.0	11.0	291.0	8.0	1.0	144.0	71.0	85.0
1410.0	87.0	13.0	288.0	11.0	1.0	148.0	73.0	79.0
1425.0	87.0	13.0	286.0	12.0	2.0	153.0	73.0	74.0
1440.0	85.0	15.0	288.0	10.0	2.0	158.0	76.0	66.0
1455.0	83.0	17.0	280.0	17.0	3.0	163.0	76.0	61.0
1470.0	82.0	18.0	272.0	21.0	7.0	170.0	70.0	60.0
1485.0	82.0	18.0	268.0	24.0	8.0	175.0	70.0	55.0
1500.0	77.0	23.0	266.0	27.0	7.0	180.0	69.0	51.0
1515.0	75.0	25.0	263.0	24.0	13.0	181.0	71.0	48.0
1530.0	77.0	23.0	261.0	25.0	14.0	178.0	70.0	52.0
1545.0	77.0	23.0	265.0	21.0	14.0	176.0	74.0	50.0
1560.0	72.0	28.0	260.0	21.0	19.0	181.0	71.0	48.0
1575.0	68.0	32.0	256.0	21.0	23.0	179.0	73.0	48.0
1590.0	65.0	35.0	250.0	26.0	24.0	180.0	71.0	49.0
1605.0	59.0	41.0	250.0	27.0	23.0	174.0	75.0	51.0
1620.0	58.0	42.0	247.0	21.0	32.0	168.0	76.0	56.0
1635.0	59.0	41.0	240.0	25.0	35.0	165.0	78.0	57.0
1650.0	61.0	39.0	236.0	26.0	38.0	156.0	83.0	61.0
1665.0	58.0	42.0	237.0	19.0	44.0	144.0	82.0	74.0
1680.0	58.0	42.0	224.0	36.0	40.0	139.0	75.0	86.0
1695.0	54.0	46.0	219.0	36.0	45.0	132.0	72.0	96.0
1710.0	52.0	48.0	196.0	57.0	47.0	118.0	74.0	108.0
1725.0	54.0	46.0	185.0	63.0	52.0	110.0	77.0	113.0
1740.0	57.0	43.0	185.0	59.0	56.0	106.0	68.0	126.0
1755.0	61.0	39.0	174.0	65.0	61.0	94.0	65.0	141.0
1770.0	60.0	40.0	179.0	44.0	77.0	89.0	59.0	152.0
1785.0	60.0	40.0	169.0	43.0	88.0	72.0	58.0	170.0
1800.0	61.0	39.0	165.0	53.0	82.0	53.0	57.0	190.0
1815.0	67.0	33.0	160.0	60.0	80.0	36.0	56.0	208.0
1830.0	71.0	29.0	152.0	69.0	79.0	22.0	50.0	228.0
1845.0	75.0	25.0	159.0	71.0	70.0	15.0	39.0	246.0
1860.0	78.0	22.0	158.0	68.0	74.0	10.0	35.0	255.0
1875.0	82.0	18.0	152.0	77.0	71.0	3.0	34.0	263.0
1890.0	84.0	16.0	158.0	75.0	67.0	3.0	19.0	278.0
