time	[Ac]	[Glcxt]	[O2]	[X]	[dummy_S]	[fba__Ac]	[fba__Glcxt]	[fba__O2]	[fba__X]	dummy_EX_Ac	dummy_EX_Glcxt	dummy_EX_O2	dummy_EX_X	fba__v1	fba__v2	fba__v3	fba__v4	update__update_Ac	update__update_Glcxt	update__update_O2	update__update_X	vO2_transfer	EX_Ac	EX_Glcxt	EX_O2	EX_X	O2_ref	Y	bounds__Km_EX_Glcxt	bounds__Vmax_EX_Glcxt	bounds__Vmax_EX_O2	bounds__lb_default	bounds__lb_kin_EX_Glcxt	bounds__lb_kin_EX_O2	bounds__ub_default	bounds__zero	dt	fba__ub_default	fba__zero	kLa	lb_EX_Ac	lb_EX_Glcxt	lb_EX_O2	lb_EX_X	ub_EX_Ac	ub_EX_Glcxt	ub_EX_O2	ub_EX_X
0.0	0.4	10.8	0.21	0.001	0.0	0.4	10.8	0.21	0.001	0.0	0.0	0.0	0.0	0.0	0.16253869969	0.0	0.439340315934	-0.00532480462912	0.00998613037448	0.0021	-0.000601879015624	0.0	5.32480462912	-9.98613037448	-2.1	0.601879015624	0.21	0.001	0.015	10.0	15.0	-1000.0	-9.98613037448	-15.0	1000.0	0.0	0.1	1000.0	0.0	7.5	-4.0	-9.98613037448	-2.1	-0.01	1000.0	1000.0	1000.0	1000.0
0.1	0.400549082091	10.7989702523	0.209846834976	0.0010620644346	0.0	0.4	10.8	0.21	0.001	0.0	0.0	0.0	0.0	0.0	0.16253869969	0.0	0.439340315934	-0.0056552856178	0.0106059139101	0.00223033531267	-0.000639234296429	0.00114873768072	5.32480462912	-9.98613037448	-2.1	0.601879015624	0.21	0.0010620644346	0.015	10.0	15.0	-1000.0	-9.98612905376	-15.0	1000.0	0.0	0.1	1000.0	0.0	7.5	-4.00549082091	-9.98612905376	-2.09846834976	-0.010620644346	1000.0	1000.0	1000.0	1000.0
0.2	0.401132342217	10.7978765523	0.209765288069	0.00112797677338	0.0	0.4	10.8	0.21	0.001	0.0	0.0	0.0	0.0	0.0	0.16242015091	0.0	0.439398566102	-0.00600705228705	0.0112641216286	0.0023670235582	-0.000678837534574	0.00176033948605	5.32551062116	-9.98612905376	-2.09846834976	0.601818717013	0.21	0.00112797677338	0.015	10.0	15.0	-1000.0	-9.98612765074	-15.0	1000.0	0.0	0.1	1000.0	0.0	7.5	-4.01132342217	-9.98612765074	-2.09765288069	-0.0112797677338	1000.0	1000.0	1000.0	1000.0
0.3	0.401751840577	10.7967149823	0.209716885376	0.00119797560433	0.0	0.4	10.8	0.21	0.001	0.0	0.0	0.0	0.0	3.68771934633e-17	0.162357034109	0.0	0.439429542802	-0.00638028156982	0.0119631373073	0.00251293697741	-0.00072092563815	0.0021233596833	5.32588605876	-9.98612765074	-2.09765288069	0.60178657691	0.21	0.00119797560433	0.015	10.0	15.0	-1000.0	-9.98612616035	-15.0	1000.0	0.0	0.1	1000.0	0.0	7.5	-4.01751840577	-9.98612616035	-2.09716885376	-0.0119797560433	1000.0	1000.0	1000.0	1000.0
0.4	0.40240981407	10.7954813224	0.209683392296	0.00127231638089	0.0	0.4	10.8	0.21	0.001	0.0	0.0	0.0	0.0	0.0	0.162319570724	0.0	0.439447895023	-0.00677649507529	0.0127055118955	0.00266826228613	-0.000765638604159	0.00237455777709	5.32610848768	-9.98612616035	-2.09716885376	0.601767465748	0.21	0.00127231638089	0.015	10.0	15.0	-1000.0	-9.98612457711	-15.0	1000.0	0.0	0.1	1000.0	0.0	7.5	-4.0240981407	-9.98612457711	-2.09683392296	-0.0127231638089	1000.0	1000.0	1000.0	1000.0
0.5	0.403108638992	10.7941711066	0.209656261025	0.00135126871872	0.0	0.4	10.8	0.21	0.001	0.0	0.0	0.0	0.0	0.0	0.162293647288	0.0	0.439460565458	-0.00719721130038	0.0134939377622	0.00283338608844	-0.00081313164404	0.00257804230876	5.32626205335	-9.98612457711	-2.09683392296	0.601754212747	0.21	0.00135126871872	0.015	10.0	15.0	-1000.0	-9.98612289522	-15.0	1000.0	0.0	0.1	1000.0	0.0	7.5	-4.03108638992	-9.98612289522	-2.09656261025	-0.0135126871872	1000.0	1000.0	1000.0	1000.0
0.6	0.403850845832	10.7927795874	0.209631425128	0.00143511883632	0.0	0.4	10.8	0.21	0.001	0.0	0.0	0.0	0.0	2.58140354243e-16	0.162272647853	0.0	0.439470808452	-0.00764399716289	0.0143312730687	0.0030088164935	-0.000863573368774	0.00276431153781	5.32638619844	-9.98612289522	-2.09656261025	0.601743456305	0.21	0.00143511883632	0.015	10.0	15.0	-1000.0	-9.98612110852	-15.0	1000.0	0.0	0.1	1000.0	0.0	7.5	-4.03850845832	-9.98612110852	-2.09631425128	-0.0143511883632	1000.0	1000.0	1000.0	1000.0
0.7	0.404639125067	10.7913017215	0.209606925441	0.00152417058279	0.0	0.4	10.8	0.21	0.001	0.0	0.0	0.0	0.0	0.0	0.162253425022	0.0	0.439480172013	-0.00811849412879	0.0152205520297	0.00319514051408	-0.000917144647274	0.00294805918965	5.3264996848	-9.98612110852	-2.09631425128	0.601733597035	0.21	0.00152417058279	0.015	10.0	15.0	-1000.0	-9.98611921045	-15.0	1000.0	0.0	0.1	1000.0	0.0	7.5	-4.04639125067	-9.98611921045	-2.09606925441	-0.0152417058279	1000.0	1000.0	1000.0	1000.0
0.8	0.405476335506	10.7897321528	0.209581792985	0.00161874656153	0.0	0.4	10.8	0.21	0.001	0.0	0.0	0.0	0.0	0.0	0.162234462416	0.0	0.439489401768	-0.00862243413026	0.016164996135	0.00339300489832	-0.00097403843614	0.00313655261579	5.32661154943	-9.98611921045	-2.09606925441	0.601723864184	0.21	0.00161874656153	0.015	10.0	15.0	-1000.0	-9.98611719403	-15.0	1000.0	0.0	0.1	1000.0	0.0	7.5	-4.05476335506	-9.98611719403	-2.09581792985	-0.0161874656153	1000.0	1000.0	1000.0	1000.0
0.9	0.40636551406	10.7880651924	0.209555522556	0.00171918931912	0.0	0.4	10.8	0.21	0.001	0.0	0.0	0.0	0.0	7.37543869267e-17	0.16221501005	0.0	0.439498866301	-0.00915765089133	0.0171680260195	0.00360310779981	-0.00103446006939	0.00333358083288	5.32672625956	-9.98611719403	-2.09581792985	0.601713876351	0.21	0.00171918931912	0.015	10.0	15.0	-1000.0	-9.98611505186	-15.0	1000.0	0.0	0.1	1000.0	0.0	7.5	-4.0636551406	-9.98611505186	-2.09555522556	-0.0171918931912	1000.0	1000.0	1000.0	1000.0
