time	[C]	[fba__B1]	[fba__B2]	[model__D]	[fba__A]	R3	fba__R1	fba__R2	model__R4	update__R3	bounds__k1	fba__lb	fba__ub	model__k_R4	ub_R1	vR3
0.0	0.0	0.0	0.0	0.0	10.0	1.0	1.0	1.0	0.0	1.0	-0.2	0.0	1000.0	0.1	1.0	1.0
0.1	0.099501661687	0.0	0.0	0.000498338313117	10.0	1.0	1.0	1.0	0.0099501661687	1.0	-0.2	0.0	1000.0	0.1	0.980198674204	1.0
0.2	0.196043027312	0.0	0.0	0.00197684010877	10.0	0.980198674204	0.980198674204	0.980198674204	0.0196043027312	0.980198674204	-0.2	0.0	1000.0	0.1	0.960789411728	0.980198674204
0.3	0.289692543682	0.0	0.0	0.00440626491183	10.0	0.960789411728	0.960789411728	0.960789411728	0.0289692543682	0.960789411728	-0.2	0.0	1000.0	0.1	0.941764450434	0.960789411728
0.4	0.3805171714	0.0	0.0	0.00775808223632	10.0	0.941764450434	0.941764450434	0.941764450434	0.03805171714	0.941764450434	-0.2	0.0	1000.0	0.1	0.923116209896	0.941764450434
0.5	0.468582545066	0.0	0.0	0.0120043295599	10.0	0.923116209896	0.923116209896	0.923116209896	0.0468582545066	0.923116209896	-0.2	0.0	1000.0	0.1	0.904837180412	0.923116209896
0.6	0.553952688754	0.0	0.0	0.0171179039139	10.0	0.904837180412	0.904837180412	0.904837180412	0.0553952688754	0.904837180412	-0.2	0.0	1000.0	0.1	0.886920181878	0.904837180412
0.7	0.636690439238	0.0	0.0	0.0230721716174	10.0	0.886920181878	0.886920181878	0.886920181878	0.0636690439238	0.886920181878	-0.2	0.0	1000.0	0.1	0.869358038017	0.886920181878
0.8	0.716857210483	0.0	0.0	0.029841204174	10.0	0.869358038017	0.869358038017	0.869358038017	0.0716857210483	0.869358038017	-0.2	0.0	1000.0	0.1	0.852143787981	0.869358038017
0.9	0.794513259911	0.0	0.0	0.0373995335441	10.0	0.852143787981	0.852143787981	0.852143787981	0.0794513259911	0.852143787981	-0.2	0.0	1000.0	0.1	0.835270480607	0.852143787981
1.0	0.869717492812	0.0	0.0	0.0457223487036	10.0	0.835270480607	0.835270480607	0.835270480607	0.0869717492812	0.835270480607	-0.2	0.0	1000.0	0.1	0.818731356858	0.835270480607
1.1	0.94252750303	0.0	0.0	0.054785474172	10.0	0.818731356858	0.818731356858	0.818731356858	0.094252750303	0.818731356858	-0.2	0.0	1000.0	0.1	0.802519840987	0.818731356858
1.2	1.01299965434	0.0	0.0	0.0645653069633	10.0	0.802519840987	0.802519840987	0.802519840987	0.101299965434	0.802519840987	-0.2	0.0	1000.0	0.1	0.786629492143	0.802519840987
1.3	1.08118909767	0.0	0.0	0.0750388128461	10.0	0.786629492143	0.786629492143	0.786629492143	0.108118909767	0.786629492143	-0.2	0.0	1000.0	0.1	0.771054009916	0.786629492143
1.4	1.14714986241	0.0	0.0	0.0861834490921	10.0	0.771054009916	0.771054009916	0.771054009916	0.114714986241	0.771054009916	-0.2	0.0	1000.0	0.1	0.755787166038	0.771054009916
1.5	1.21093488185	0.0	0.0	0.0979771462599	10.0	0.755787166038	0.755787166038	0.755787166038	0.121093488185	0.755787166038	-0.2	0.0	1000.0	0.1	0.740822797296	0.755787166038
1.6	1.27259587772	0.0	0.0	0.110398430117	10.0	0.740822797296	0.740822797296	0.740822797296	0.127259587772	0.740822797296	-0.2	0.0	1000.0	0.1	0.726154935877	0.740822797296
1.7	1.33218346547	0.0	0.0	0.123426335953	10.0	0.726154935877	0.726154935877	0.726154935877	0.133218346547	0.726154935877	-0.2	0.0	1000.0	0.1	0.711777731492	0.726154935877
1.8	1.389747177	0.0	0.0	0.137040397577	10.0	0.711777731492	0.711777731492	0.711777731492	0.1389747177	0.711777731492	-0.2	0.0	1000.0	0.1	0.697685449019	0.711777731492
1.9	1.44533687338	0.0	0.0	0.151219246096	10.0	0.697685449019	0.697685449019	0.697685449019	0.144533687338	0.697685449019	-0.2	0.0	1000.0	0.1	0.683871751217	0.697685449019
2.0	1.49899864904	0.0	0.0	0.165944645563	10.0	0.683871751217	0.683871751217	0.683871751217	0.149899864904	0.683871751217	-0.2	0.0	1000.0	0.1	0.670331770125	0.683871751217
2.1	1.55077891157	0.0	0.0	0.181197560045	10.0	0.670331770125	0.670331770125	0.670331770125	0.155077891157	0.670331770125	-0.2	0.0	1000.0	0.1	0.657060100869	0.670331770125
2.2	1.60072308207	0.0	0.0	0.196959399628	10.0	0.657060100869	0.657060100869	0.657060100869	0.160072308207	0.657060100869	-0.2	0.0	1000.0	0.1	0.644051422604	0.657060100869
2.3	1.648875598	0.0	0.0	0.213212025956	10.0	0.644051422604	0.644051422604	0.644051422604	0.1648875598	0.644051422604	-0.2	0.0	1000.0	0.1	0.631300531115	0.644051422604
2.4	1.69527993516	0.0	0.0	0.229937741912	10.0	0.631300531115	0.631300531115	0.631300531115	0.169527993516	0.631300531115	-0.2	0.0	1000.0	0.1	0.61880233177	0.631300531115
2.5	1.73997863152	0.0	0.0	0.247119278727	10.0	0.61880233177	0.61880233177	0.61880233177	0.173997863152	0.61880233177	-0.2	0.0	1000.0	0.1	0.606551830251	0.61880233177
2.6	1.78301330676	0.0	0.0	0.264739786513	10.0	0.606551830251	0.606551830251	0.606551830251	0.178301330676	0.606551830251	-0.2	0.0	1000.0	0.1	0.59454413044	0.606551830251
2.7	1.82442468134	0.0	0.0	0.282782824975	10.0	0.59454413044	0.59454413044	0.59454413044	0.182442468134	0.59454413044	-0.2	0.0	1000.0	0.1	0.582774432323	0.59454413044
2.8	1.86425259524	0.0	0.0	0.30123235431	10.0	0.582774432323	0.582774432323	0.582774432323	0.186425259524	0.582774432323	-0.2	0.0	1000.0	0.1	0.571238029918	0.582774432323
2.9	1.90253602456	0.0	0.0	0.320072727985	10.0	0.571238029918	0.571238029918	0.571238029918	0.190253602456	0.571238029918	-0.2	0.0	1000.0	0.1	0.55993030961	0.571238029918
3.0	1.93931308444	0.0	0.0	0.339288699058	10.0	0.55993030961	0.55993030961	0.55993030961	0.193931308444	0.55993030961	-0.2	0.0	1000.0	0.1	0.54884675099	0.55993030961
3.1	1.97462108685	0.0	0.0	0.35886537175	10.0	0.54884675099	0.54884675099	0.54884675099	0.197462108685	0.54884675099	-0.2	0.0	1000.0	0.1	0.537982915995	0.54884675099
3.2	2.00849653348	0.0	0.0	0.378788216718	10.0	0.537982915995	0.537982915995	0.537982915995	0.200849653348	0.537982915995	-0.2	0.0	1000.0	0.1	0.527334452873	0.537982915995
3.3	2.04097513257	0.0	0.0	0.399043062922	10.0	0.527334452873	0.527334452873	0.527334452873	0.204097513257	0.527334452873	-0.2	0.0	1000.0	0.1	0.516897094264	0.527334452873
3.4	2.07209181519	0.0	0.0	0.419616089724	10.0	0.516897094264	0.516897094264	0.516897094264	0.207209181519	0.516897094264	-0.2	0.0	1000.0	0.1	0.506666655349	0.516897094264
3.5	2.10188075123	0.0	0.0	0.44049381922	10.0	0.506666655349	0.506666655349	0.506666655349	0.210188075123	0.506666655349	-0.2	0.0	1000.0	0.1	0.496639032058	0.506666655349
3.6	2.13037534739	0.0	0.0	0.461663126264	10.0	0.496639032058	0.496639032058	0.496639032058	0.213037534739	0.496639032058	-0.2	0.0	1000.0	0.1	0.48681020985	0.496639032058
3.7	2.15760829152	0.0	0.0	0.483111203125	10.0	0.48681020985	0.48681020985	0.48681020985	0.215760829152	0.48681020985	-0.2	0.0	1000.0	0.1	0.477176245525	0.48681020985
3.8	2.18361157007	0.0	0.0	0.504825549122	10.0	0.477176245525	0.477176245525	0.477176245525	0.218361157007	0.477176245525	-0.2	0.0	1000.0	0.1	0.467733263129	0.477176245525
3.9	2.20841646593	0.0	0.0	0.526793979579	10.0	0.467733263129	0.467733263129	0.467733263129	0.220841646593	0.467733263129	-0.2	0.0	1000.0	0.1	0.458477461874	0.467733263129
4.0	2.23205357229	0.0	0.0	0.549004619408	10.0	0.458477461874	0.458477461874	0.458477461874	0.223205357229	0.458477461874	-0.2	0.0	1000.0	0.1	0.449405114868	0.458477461874
