dose	dose_unit	atp_adp	unit	measurement	species	study	experiment
0.0	mM 	3.356937365630384	mM	concentration	mouse	Detimary1996_Ess30_Experiment51	Experiment0
3.0	mM 	4.512522495955192	mM	concentration	mouse	Detimary1996_Ess30_Experiment51	Experiment0
6.0	mM 	5.034158116339394	mM	concentration	mouse	Detimary1996_Ess30_Experiment51	Experiment0
10.0	mM 	5.428504661892999	mM	concentration	mouse	Detimary1996_Ess30_Experiment51	Experiment0
15.0	mM 	5.024174659489934	mM	concentration	mouse	Detimary1996_Ess30_Experiment51	Experiment0
20.0	mM 	5.138984413258706	mM	concentration	mouse	Detimary1996_Ess30_Experiment51	Experiment0
							
0.0	mM 	2.884876867716989	mM	concentration	mouse	Detimary1996_Ess35_Experiment52	Experiment1
3.0	mM 	3.665554671333482	mM	concentration	mouse	Detimary1996_Ess35_Experiment52	Experiment1
6.0	mM 	4.633784228904198	mM	concentration	mouse	Detimary1996_Ess35_Experiment52	Experiment1
10.0	mM 	5.599047808651062	mM	concentration	mouse	Detimary1996_Ess35_Experiment52	Experiment1
15.0	mM 	5.49206406167718	mM	concentration	mouse	Detimary1996_Ess35_Experiment52	Experiment1
20.0	mM 	5.572214978026048	mM	concentration	mouse	Detimary1996_Ess35_Experiment52	Experiment1
							
1.0	mM 	3.2357868068650064	mM 	concentration	rat	Detimary1998_Ess39_Experiment53	Experiment2
10.0	mM 	5.469884408878062	mM 	concentration	rat	Detimary1998_Ess39_Experiment53	Experiment2
20.0	mM 	5.481131665349929	mM 	concentration	rat	Detimary1998_Ess39_Experiment53	Experiment2
							
1.0	mM 	2.836540284141064	mM 	concentration	rat	Detimary1998_Ess44_Experiment54	Experiment3
5.0	mM 	4.897839022863124	mM 	concentration	rat	Detimary1998_Ess44_Experiment54	Experiment3
10.0	mM 	5.391234072729606	mM 	concentration	rat	Detimary1998_Ess44_Experiment54	Experiment3
20.0	mM 	5.303032889496278	mM 	concentration	rat	Detimary1998_Ess44_Experiment54	Experiment3
							
0.0	mM 	4.639317648200644	mM 	concentration	rat	Malaisse1977_Ess124_Experiment55	Experiment4
11.1	mM 	5.085321795341517	mM 	concentration	rat	Malaisse1977_Ess124_Experiment55	Experiment4
27.8	mM 	5.164028409542847	mM 	concentration	rat	Malaisse1977_Ess124_Experiment55	Experiment4
							
0.0	mM 	4.56883945122353	mM 	concentration	rat	Malaisse1987_Ess134_Experiment56	Experiment5
16.7	mM 	4.910189525165519	mM 	concentration	rat	Malaisse1987_Ess134_Experiment56	Experiment5
							
9.0	mM 	4.572775343634314	mM 	concentration	rat	Meglasson1989_Ess159_Experiment57	Experiment6
17.0	mM 	5.348888590030962	mM 	concentration	rat	Meglasson1989_Ess159_Experiment57	Experiment6
28.0	mM 	6.796234914392283	mM 	concentration	rat	Meglasson1989_Ess159_Experiment57	Experiment6
							
9.0	mM 	3.830892978860746	mM 	concentration	rat	Meglasson1989_Ess163_Experiment58	Experiment7
17.0	mM 	5.856653140457268	mM 	concentration	rat	Meglasson1989_Ess163_Experiment58	Experiment7
28.0	mM 	6.638877361271766	mM 	concentration	rat	Meglasson1989_Ess163_Experiment58	Experiment7
							
1.0	mM 	3.761488200652269	mM 	concentration	mouse	Detimary1996_Etc14_Experiment59	Experiment8
							
1.0	mM 	4.098616769868101	mM 	concentration	mouse	Detimary1996_Etc15_Experiment60	Experiment9
10.0	mM 	5.015412626285966	mM 	concentration	mouse	Detimary1996_Etc15_Experiment60	Experiment9
							
1.0	mM 	3.627464522356102	mM 	concentration	mouse	Detimary1996_Etc22_Experiment61	Experiment10
10.0	mM 	5.389210827003572	mM 	concentration	mouse	Detimary1996_Etc22_Experiment61	Experiment10
							
10.0	mM 	5.079864950049751	mM 	concentration	mouse	Detimary1996_Etc23_Experiment62	Experiment11
							
5.0	mM 	4.973016065916072	mM 	concentration	rat	Meglasson1989_Etc44_Experiment63	Experiment12
28.0	mM 	5.887593733210982	mM 	concentration	rat	Meglasson1989_Etc44_Experiment63	Experiment12
							
5.0	mM 	4.492512095537754	mM 	concentration	rat	Meglasson1989_Etc48_Experiment64	Experiment13
28.0	mM 	6.469985368359929	mM 	concentration	rat	Meglasson1989_Etc48_Experiment64	Experiment13
							
2.4	mM 	4.20426161939984	mM 	concentration	rat	Trus1980_Etc106_Experiment65	Experiment14
							
2.4	mM 	4.7815212576394135	mM 	concentration	rat	Trus1980_Etc107_Experiment66	Experiment15
14.5	mM 	4.804731396916679	mM 	concentration	rat	Trus1980_Etc107_Experiment66	Experiment15
							
2.4	mM 	4.20426161939984	mM 	concentration	rat	Trus1980_Etc122_Experiment67	Experiment16
							
2.4	mM 	4.626168662934133	mM 	concentration	rat	Trus1980_Etc123_Experiment68	Experiment17
8.6	mM 	4.544442241993918	mM 	concentration	rat	Trus1980_Etc123_Experiment68	Experiment17
							
