time	[adp]	[atp]	[dummy_S]	[fba__adp]	[fba__atp]	[fba__fru16bp]	[fba__glc]	[fba__pg2]	[fba__pyr]	[glc]	[pyr]	EX_adp	EX_atp	EX_glc	EX_pyr	fba__R1	fba__R2	fba__R3	update__update_adp	update__update_atp	update__update_glc	update__update_pyr	bounds__fbalb_EX_adp	bounds__fbalb_EX_atp	bounds__fbalb_EX_glc	bounds__fbalb_EX_pyr	dt	fba__ub_R3	fba__ub_default	fba__zero	lb_EX_adp	lb_EX_atp	lb_EX_glc	lb_EX_pyr	pEX_adp	pEX_atp	pEX_glc	pEX_pyr	ub_EX_adp	ub_EX_atp	ub_EX_glc	ub_EX_pyr
0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-50.0	0.0	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
20.0	0.9800000000000001	2.019999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.989999999999999	0.019999999999999997	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-9.8	-20.19999999999999	-49.89999999999999	-0.19999999999999996	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
40.0	0.9600000000000002	2.039999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9799999999999995	0.039999999999999994	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-9.600000000000001	-20.39999999999999	-49.79999999999999	-0.3999999999999999	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
60.0	0.9400000000000001	2.059999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.97	0.06000000000000001	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-9.4	-20.59999999999999	-49.699999999999996	-0.6000000000000001	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
80.0	0.9199999999999999	2.079999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.96	0.08000000000000003	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-9.2	-20.79999999999999	-49.599999999999994	-0.8000000000000003	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
100.0	0.9	2.099999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.950000000000001	0.10000000000000002	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-9.0	-20.99999999999999	-49.50000000000001	-1.0000000000000002	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
120.0	0.8800000000000001	2.1199999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.940000000000002	0.12000000000000004	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-8.8	-21.199999999999996	-49.40000000000002	-1.2000000000000004	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
140.0	0.86	2.1399999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9300000000000015	0.14000000000000004	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-8.6	-21.399999999999995	-49.30000000000001	-1.4000000000000004	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
160.0	0.8399999999999999	2.1599999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.920000000000002	0.16000000000000003	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-8.399999999999999	-21.599999999999994	-49.20000000000002	-1.6000000000000003	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
180.0	0.8199999999999998	2.1799999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.910000000000002	0.18	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-8.199999999999998	-21.799999999999997	-49.100000000000016	-1.7999999999999998	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
200.0	0.7999999999999998	2.1999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.900000000000002	0.19999999999999996	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-7.999999999999998	-21.999999999999996	-49.00000000000002	-1.9999999999999996	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
220.0	0.7799999999999998	2.2199999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.890000000000002	0.21999999999999997	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-7.799999999999998	-22.199999999999996	-48.90000000000002	-2.1999999999999997	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
240.0	0.7599999999999998	2.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.880000000000002	0.24000000000000002	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-7.599999999999998	-22.400000000000002	-48.80000000000001	-2.4	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
260.0	0.7399999999999998	2.2600000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.870000000000002	0.26	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-7.399999999999998	-22.6	-48.70000000000002	-2.6	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
280.0	0.7199999999999998	2.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.860000000000001	0.28	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-7.1999999999999975	-22.799999999999997	-48.60000000000001	-2.8000000000000003	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
300.0	0.6999999999999997	2.2999999999999994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.850000000000001	0.30000000000000004	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-6.999999999999997	-22.999999999999993	-48.500000000000014	-3.0000000000000004	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
320.0	0.6799999999999997	2.3199999999999994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.840000000000002	0.31999999999999995	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-6.799999999999997	-23.199999999999992	-48.40000000000001	-3.1999999999999993	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
340.0	0.6599999999999997	2.3399999999999994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.830000000000002	0.33999999999999997	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-6.599999999999997	-23.39999999999999	-48.30000000000002	-3.3999999999999995	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
360.0	0.6399999999999997	2.359999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.820000000000001	0.36	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-6.399999999999997	-23.599999999999987	-48.20000000000001	-3.5999999999999996	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
380.0	0.6199999999999997	2.379999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.810000000000001	0.3800000000000001	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-6.199999999999997	-23.79999999999999	-48.10000000000001	-3.800000000000001	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
400.0	0.5999999999999998	2.399999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.800000000000001	0.4	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-5.999999999999997	-23.99999999999999	-48.00000000000001	-4.0	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
420.0	0.5799999999999998	2.419999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.790000000000001	0.42	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-5.799999999999998	-24.19999999999999	-47.900000000000006	-4.199999999999999	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
440.0	0.56	2.439999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.780000000000001	0.43999999999999984	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-5.6000000000000005	-24.399999999999988	-47.80000000000001	-4.399999999999998	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
460.0	0.54	2.459999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7700000000000005	0.45999999999999985	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-5.4	-24.59999999999999	-47.7	-4.599999999999998	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
480.0	0.52	2.479999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.760000000000002	0.47999999999999976	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-5.2	-24.79999999999999	-47.600000000000016	-4.799999999999997	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
