time	[adp]	[atp]	[dummy_S]	[fba__adp]	[fba__atp]	[fba__fru16bp]	[fba__glc]	[fba__pg2]	[fba__pyr]	[glc]	[pyr]	EX_adp	EX_atp	EX_glc	EX_pyr	fba__R1	fba__R2	fba__R3	update__update_adp	update__update_atp	update__update_glc	update__update_pyr	bounds__fbalb_EX_adp	bounds__fbalb_EX_atp	bounds__fbalb_EX_glc	bounds__fbalb_EX_pyr	dt	fba__ub_R3	fba__ub_default	fba__zero	lb_EX_adp	lb_EX_atp	lb_EX_glc	lb_EX_pyr	pEX_adp	pEX_atp	pEX_glc	pEX_pyr	ub_EX_adp	ub_EX_atp	ub_EX_glc	ub_EX_pyr
0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-50.0	0.0	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
10.0	0.99	2.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.995	0.010000000000000002	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-9.899999999999999	-20.099999999999998	-49.949999999999996	-0.10000000000000002	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
20.0	0.9800000000000001	2.0200000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.99	0.020000000000000004	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-9.8	-20.200000000000003	-49.9	-0.20000000000000004	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
30.0	0.9700000000000001	2.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.985	0.030000000000000006	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-9.700000000000001	-20.299999999999997	-49.85	-0.30000000000000004	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
40.0	0.9600000000000001	2.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.98	0.040000000000000015	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-9.6	-20.4	-49.800000000000004	-0.40000000000000013	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
50.0	0.9500000000000001	2.0500000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.975	0.05000000000000001	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-9.5	-20.5	-49.74999999999999	-0.5000000000000001	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
60.0	0.9400000000000001	2.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.97	0.06000000000000002	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-9.4	-20.599999999999998	-49.699999999999996	-0.6000000000000002	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
70.0	0.93	2.0700000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.965	0.07000000000000002	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-9.3	-20.700000000000003	-49.65	-0.7000000000000002	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
80.0	0.9199999999999999	2.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.960000000000001	0.08000000000000002	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-9.2	-20.8	-49.60000000000001	-0.8000000000000002	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
90.0	0.91	2.0900000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.955	0.09	-0.001	0.001	-0.0005	0.001	0.0005	0.0005	0.001	0.001	-0.001	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-9.1	-20.900000000000002	-49.55	-0.8999999999999999	-0.001	0.001	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
