time	[Ac]	[Glcxt]	[O2]	[X]	[dummy_S]	dummy_EX_Ac	dummy_EX_Glcxt	dummy_EX_O2	dummy_EX_X	fba__v1	fba__v2	fba__v3	fba__v4	fba__vGlcxt	fba__vO2	update__update_Ac	update__update_Glcxt	update__update_O2	update__update_X	EX_Ac	EX_Glcxt	EX_O2	EX_X	Y	bounds__Km_vGlcxt	bounds__Vmax_vGlcxt	bounds__lb_default	bounds__ub_default	bounds__zero	dt	fba__lb_default	fba__ub_default	fba__ub_vO2	fba__zero	lb_EX_Ac	lb_EX_Glcxt	lb_EX_O2	lb_EX_X	ub_EX_Ac	ub_EX_Glcxt	ub_EX_O2	ub_EX_X	ub_vGlcxt
0.0	0.4	10.8	0.21	0.001	0.0	0.0	0.0	0.0	0.0	0.0	2.78637770898	0.0	51.1506498829	9.98613037448	15.0	-619.94587658	1000.0	21.0	-53.9370275918	619.94587658	-1000.0	-21.0	53.9370275918	0.001	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-40.0	-1000.0	-21.0	-0.1	1000.0	1000.0	1000.0	1000.0	9.98613037448
0.01	6.5994587658	0.8	0.0	0.540370275918	0.0	0.0	0.0	0.0	0.0	0.0	2.78637770898	0.0	51.1506498829	9.98613037448	15.0	-619.94587658	1000.0	21.0	-53.9370275918	619.94587658	-1000.0	-21.0	53.9370275918	0.540370275918	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-659.94587658	-80.0	0.0	-54.0370275918	1000.0	1000.0	1000.0	1000.0	9.81595092025
0.02	7.09631560557	0.0	0.0	0.592974971798	0.0	0.0	0.0	0.0	0.0	0.0	1.16099071207	0.0	4.09947887592	9.81595092025	15.0	-49.6856839762	80.0	0.0	-5.260469588	49.6856839762	-80.0	0.0	5.260469588	0.592974971798	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-709.631560557	0.0	0.0	-59.2974971798	1000.0	1000.0	1000.0	1000.0	0.0
0.03	6.92732989128	0.0	0.0	0.597260686084	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.597260686084	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-692.732989128	0.0	0.0	-59.7260686084	1000.0	1000.0	1000.0	1000.0	0.0
0.04	6.75834417699	0.0	0.0	0.60154640037	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.60154640037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-675.834417699	0.0	0.0	-60.154640037	1000.0	1000.0	1000.0	1000.0	0.0
0.05	6.58935846271	0.0	0.0	0.605832114656	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.605832114656	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-658.935846271	0.0	0.0	-60.5832114656	1000.0	1000.0	1000.0	1000.0	0.0
0.06	6.42037274842	0.0	0.0	0.610117828941	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.610117828941	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-642.037274842	0.0	0.0	-61.0117828941	1000.0	1000.0	1000.0	1000.0	0.0
0.07	6.25138703414	0.0	0.0	0.614403543227	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.614403543227	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-625.138703414	0.0	0.0	-61.4403543227	1000.0	1000.0	1000.0	1000.0	0.0
0.08	6.08240131985	0.0	0.0	0.618689257513	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.618689257513	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-608.240131985	0.0	0.0	-61.8689257513	1000.0	1000.0	1000.0	1000.0	0.0
0.09	5.91341560557	0.0	0.0	0.622974971798	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.622974971798	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-591.341560557	0.0	0.0	-62.2974971798	1000.0	1000.0	1000.0	1000.0	0.0
