time	MKKK	MKKK_P	MKK	MKK_P	MKK_PP	MAPK	MAPK_P	MAPK_PP
0.0	90.0	10.0	280.0	10.0	10.0	280.0	10.0	10.0
15.0	71.0	29.0	273.0	19.0	8.0	280.0	10.0	10.0
30.0	56.0	44.0	272.0	17.0	11.0	276.0	19.0	5.0
45.0	42.0	58.0	263.0	16.0	21.0	270.0	24.0	6.0
60.0	29.0	71.0	242.0	29.0	29.0	265.0	28.0	7.0
75.0	21.0	79.0	228.0	33.0	39.0	258.0	30.0	12.0
90.0	19.0	81.0	218.0	27.0	55.0	249.0	31.0	20.0
105.0	24.0	76.0	206.0	23.0	71.0	234.0	22.0	44.0
120.0	25.0	75.0	192.0	26.0	82.0	205.0	37.0	58.0
135.0	29.0	71.0	185.0	28.0	87.0	174.0	48.0	78.0
150.0	32.0	68.0	166.0	34.0	100.0	136.0	61.0	103.0
165.0	38.0	62.0	158.0	37.0	105.0	102.0	65.0	133.0
180.0	41.0	59.0	142.0	48.0	110.0	75.0	59.0	166.0
195.0	41.0	59.0	126.0	58.0	116.0	46.0	70.0	184.0
210.0	41.0	59.0	106.0	72.0	122.0	14.0	74.0	212.0
225.0	41.0	59.0	89.0	91.0	120.0	4.0	53.0	243.0
240.0	48.0	52.0	82.0	82.0	136.0	1.0	23.0	276.0
255.0	48.0	52.0	68.0	87.0	145.0	0.0	8.0	292.0
270.0	49.0	51.0	57.0	87.0	156.0	0.0	2.0	298.0
285.0	50.0	50.0	61.0	87.0	152.0	0.0	0.0	300.0
300.0	54.0	46.0	59.0	91.0	150.0	0.0	1.0	299.0
315.0	55.0	45.0	58.0	86.0	156.0	0.0	0.0	300.0
330.0	55.0	45.0	58.0	85.0	157.0	2.0	0.0	298.0
345.0	55.0	45.0	50.0	83.0	167.0	1.0	1.0	298.0
360.0	56.0	44.0	42.0	89.0	169.0	0.0	4.0	296.0
375.0	59.0	41.0	29.0	95.0	176.0	0.0	2.0	298.0
390.0	60.0	40.0	29.0	93.0	178.0	0.0	0.0	300.0
405.0	62.0	38.0	24.0	94.0	182.0	0.0	1.0	299.0
420.0	67.0	33.0	30.0	86.0	184.0	0.0	0.0	300.0
435.0	66.0	34.0	23.0	95.0	182.0	0.0	3.0	297.0
450.0	67.0	33.0	24.0	93.0	183.0	0.0	4.0	296.0
465.0	70.0	30.0	24.0	93.0	183.0	1.0	2.0	297.0
480.0	70.0	30.0	28.0	84.0	188.0	0.0	4.0	296.0
495.0	70.0	30.0	27.0	85.0	188.0	0.0	2.0	298.0
510.0	72.0	28.0	23.0	91.0	186.0	0.0	0.0	300.0
525.0	72.0	28.0	28.0	92.0	180.0	0.0	0.0	300.0
540.0	74.0	26.0	28.0	97.0	175.0	0.0	2.0	298.0
555.0	72.0	28.0	38.0	91.0	171.0	1.0	3.0	296.0
570.0	73.0	27.0	35.0	98.0	167.0	0.0	4.0	296.0
585.0	76.0	24.0	39.0	96.0	165.0	0.0	4.0	296.0
600.0	77.0	23.0	43.0	90.0	167.0	2.0	1.0	297.0
615.0	80.0	20.0	57.0	77.0	166.0	0.0	3.0	297.0
630.0	79.0	21.0	59.0	78.0	163.0	0.0	0.0	300.0
645.0	79.0	21.0	65.0	69.0	166.0	0.0	2.0	298.0
660.0	81.0	19.0	71.0	66.0	163.0	0.0	2.0	298.0
675.0	88.0	12.0	72.0	68.0	160.0	0.0	3.0	297.0
690.0	89.0	11.0	74.0	80.0	146.0	0.0	2.0	298.0
705.0	90.0	10.0	76.0	85.0	139.0	0.0	6.0	294.0
720.0	91.0	9.0	84.0	87.0	129.0	1.0	5.0	294.0
735.0	92.0	8.0	96.0	78.0	126.0	0.0	3.0	297.0
750.0	92.0	8.0	93.0	84.0	123.0	0.0	2.0	298.0
765.0	93.0	7.0	109.0	71.0	120.0	0.0	3.0	297.0
780.0	93.0	7.0	112.0	77.0	111.0	1.0	6.0	293.0
795.0	90.0	10.0	120.0	77.0	103.0	3.0	2.0	295.0
810.0	90.0	10.0	126.0	79.0	95.0	1.0	4.0	295.0
825.0	92.0	8.0	135.0	77.0	88.0	2.0	1.0	297.0
840.0	93.0	7.0	146.0	74.0	80.0	0.0	9.0	291.0
855.0	89.0	11.0	156.0	75.0	69.0	2.0	2.0	296.0
870.0	94.0	6.0	159.0	76.0	65.0	1.0	4.0	295.0
885.0	97.0	3.0	167.0	82.0	51.0	0.0	3.0	297.0
900.0	97.0	3.0	174.0	82.0	44.0	2.0	1.0	297.0
915.0	98.0	2.0	182.0	83.0	35.0	1.0	3.0	296.0
930.0	98.0	2.0	199.0	73.0	28.0	3.0	8.0	289.0
945.0	97.0	3.0	209.0	70.0	21.0	5.0	12.0	283.0
960.0	95.0	5.0	214.0	70.0	16.0	8.0	8.0	284.0
975.0	96.0	4.0	220.0	69.0	11.0	8.0	10.0	282.0
990.0	97.0	3.0	223.0	66.0	11.0	10.0	14.0	276.0
1005.0	98.0	2.0	238.0	54.0	8.0	10.0	18.0	272.0
1020.0	99.0	1.0	246.0	49.0	5.0	11.0	22.0	267.0
1035.0	98.0	2.0	251.0	46.0	3.0	16.0	20.0	264.0
1050.0	97.0	3.0	256.0	41.0	3.0	19.0	20.0	261.0
1065.0	95.0	5.0	256.0	41.0	3.0	19.0	26.0	255.0
1080.0	94.0	6.0	264.0	35.0	1.0	20.0	32.0	248.0
