time	MKKK	MKKK_P	MKK	MKK_P	MKK_PP	MAPK	MAPK_P	MAPK_PP
0.0	90.0	10.0	280.0	10.0	10.0	280.0	10.0	10.0
15.0	76.0	24.0	283.0	8.0	9.0	282.0	10.0	8.0
30.0	52.0	48.0	281.0	9.0	10.0	281.0	15.0	4.0
45.0	47.0	53.0	269.0	16.0	15.0	277.0	15.0	8.0
60.0	30.0	70.0	258.0	21.0	21.0	278.0	12.0	10.0
75.0	25.0	75.0	241.0	38.0	21.0	274.0	17.0	9.0
90.0	14.0	86.0	225.0	33.0	42.0	276.0	12.0	12.0
105.0	7.0	93.0	208.0	42.0	50.0	267.0	14.0	19.0
120.0	6.0	94.0	185.0	42.0	73.0	245.0	31.0	24.0
135.0	12.0	88.0	155.0	66.0	79.0	218.0	50.0	32.0
150.0	16.0	84.0	143.0	72.0	85.0	199.0	63.0	38.0
165.0	18.0	82.0	123.0	83.0	94.0	166.0	74.0	60.0
180.0	19.0	81.0	109.0	80.0	111.0	145.0	74.0	81.0
195.0	17.0	83.0	90.0	85.0	125.0	112.0	74.0	114.0
210.0	19.0	81.0	65.0	90.0	145.0	81.0	57.0	162.0
225.0	21.0	79.0	53.0	90.0	157.0	29.0	58.0	213.0
240.0	22.0	78.0	32.0	92.0	176.0	4.0	34.0	262.0
255.0	24.0	76.0	24.0	85.0	191.0	0.0	9.0	291.0
270.0	27.0	73.0	24.0	66.0	210.0	1.0	4.0	295.0
285.0	29.0	71.0	14.0	58.0	228.0	0.0	4.0	296.0
300.0	31.0	69.0	10.0	54.0	236.0	0.0	1.0	299.0
315.0	34.0	66.0	12.0	53.0	235.0	0.0	3.0	297.0
330.0	38.0	62.0	21.0	41.0	238.0	0.0	0.0	300.0
345.0	40.0	60.0	11.0	43.0	246.0	0.0	1.0	299.0
360.0	45.0	55.0	13.0	38.0	249.0	0.0	2.0	298.0
375.0	50.0	50.0	12.0	39.0	249.0	0.0	0.0	300.0
390.0	52.0	48.0	19.0	35.0	246.0	1.0	1.0	298.0
405.0	52.0	48.0	12.0	50.0	238.0	0.0	1.0	299.0
420.0	55.0	45.0	14.0	52.0	234.0	0.0	1.0	299.0
435.0	58.0	42.0	18.0	42.0	240.0	1.0	0.0	299.0
450.0	60.0	40.0	17.0	46.0	237.0	0.0	1.0	299.0
465.0	63.0	37.0	22.0	37.0	241.0	0.0	0.0	300.0
480.0	65.0	35.0	24.0	37.0	239.0	0.0	2.0	298.0
